%% LaTeX2e file `./data/monDIFF.csv'
%% generated by the `filecontents' environment
%% from source `gshs_thesis_15021_main' on 2017/06/10.
%%
Month 2003 2004 2005 2006 Average
Jan 0.056417577 0.011189625 0.057162461 0.046475226 0.042811222
Feb 0.049741907 0.056923639 -0.004974901 0.022360661 0.031012827
Mar 0.052447076 0.079349371 0.04847204 0.112759219 0.073256927
Apr -0.110670033 0.129637092 -0.024998613 -0.082845355 -0.022219227
May 0.002542492 0.181767673 0.048083707 0.040197649 0.06814788
Jun -0.012770777 0.048205081 -0.10701257 -0.020948062 -0.023131582
Jul 0.022198277 0.056985062 0.008300598 -0.12181981 -0.008583968
Aug 0.012881277 0.055942255 0.042338692 0.027292867 0.034613773
Sep 0.043492498 0.048752769 0.049541383 0.039852537 0.045409797
Oct 0.07167891 0.011090767 0.054331339 0.042927046 0.045007016
Nov 0.097941294 0.097634077 0.113892435 0.067912422 0.094345057
Dec 0.055504665 0.167151392 0.088686218 0.052265618 0.090901973
