Month YMonth fileLAC sumLAC meanLAC medianLAC stdLAC varLAC maxLAC minLAC totalpixLAC nanpixLAC statipixLAC percentLAC fileGAC sumGAC meanGAC medianGAC stdGAC varGAC maxGAC minGAC totalpixGAC nanpixGAC statipixGAC percentGAC sumDIFF meanDIFF medianDIFF stdDIFF varDIFF maxDIFF minDIFF totalpixDIFF nanpixDIFF statipixDIFF percentDIFF
Jan 03Jan S20030012003031.MON.chlor_a.csv 272064.272808 0.5727741252 0.4621169497 0.6081202039 0.3698101824 60.3289375305 0.0180891398 985680 510686 474994 100 S20030012003031.MON.chlor_a.csv 186318.7097 0.490979092 0.428804881 0.332174249 0.110339732 9.845061302 0.137289628 985680 606196 379484 100 85745.563108 0.0817950332 0.0333120687 0.2759459549 0.2594704504 50.4838762285 -0.1192004882 0 -95510 95510 0
Feb 03Feb S20030322003059.MON.chlor_a.csv 339136.483116 0.5728337493 0.4659842551 0.6056698249 0.3668359367 42.3421418667 0.0319777131 985680 393647 592033 100 S20030322003059.MON.chlor_a.csv 285709.3137 0.511935785 0.43793944 0.446565283 0.199420552 20.0573597 0.112124309 985680 427584 558096 100 53427.169416 0.0608979643 0.0280448151 0.1591045419 0.1674153847 22.2847821667 -0.0801465959 0 -33937 33937 0
Mar 03Mar S20030602003090.MON.chlor_a.csv 535248.09292 0.9023884388 0.7585778201 0.7303772368 0.5334509081 64.4377593994 0.116979003 985680 392534 593146 100 S20030602003090.MON.chlor_a.csv 470579.2244 0.826820719 0.723615217 0.550501 0.303051351 18.24465164 0.179079637 985680 416537 569143 100 64668.86852 0.0755677198 0.0349626031 0.1798762368 0.2303995571 46.1931077594 -0.062100634 0 -24003 24003 0
Apr 03Apr S20030912003120.MON.chlor_a.csv 978632.699888 1.6502329572 1.3376885734 1.3025605045 1.696663868 79.2592163086 0.2144225836 985680 392653 593027 100 S20030912003120.MON.chlor_a.csv 982099.8089 1.744240434 1.327869371 1.738466619 3.022266186 46.17442918 0.310583003 985680 422627 563053 100 -3467.1090119999 -0.0940074768 0.0098192024 -0.4359061145 -1.325602318 33.0847871286 -0.0961604194 0 -29974 29974 0
May 03May S20031212003151.MON.chlor_a.csv 492078.071096 0.857618032 0.7565330863 0.7376704863 0.5441577464 85.0576248169 0.1003779694 985680 411907 573773 100 S20031212003151.MON.chlor_a.csv 443009.4716 0.816995865 0.759394765 0.400582222 0.160466117 9.047087669 0.182216555 985680 443438 542242 100 49068.599496 0.040622167 -0.0028616787 0.3370882643 0.3836916294 76.0105371479 -0.0818385856 0 -31531 31531 0
Jun 03Jun S20031522003181.MON.chlor_a.csv 222100.803013 0.3891535075 0.3297422398 0.5259769128 0.2766517128 93.276725769 0.0548414327 985680 414952 570728 100 S20031522003181.MON.chlor_a.csv 152936.4334 0.357268014 0.333365515 0.156452972 0.024477533 3.774416447 0.110452443 985680 557608 428072 100 69164.369613 0.0318854935 -0.0036232752 0.3695239408 0.2521741798 89.502309322 -0.0556110103 0 -142656 142656 0
Jul 03Jul S20031822003212.MON.chlor_a.csv 215035.243516 0.4116941088 0.2906671173 0.8879359569 0.7884302636 99.5339050293 0.0645734072 985680 463362 522318 100 S20031822003212.MON.chlor_a.csv 107515.9306 0.344977173 0.287366688 0.279665188 0.078212617 11.28640938 0.114869721 985680 674019 311661 100 107519.312916 0.0667169358 0.0033004293 0.6082707689 0.7102176466 88.2474956493 -0.0502963138 0 -210657 210657 0
Aug 03Aug S20032132003243.MON.chlor_a.csv 236350.77959 0.3994267263 0.2648979525 1.0363284373 1.0739766299 96.9158096313 0.0655615628 985680 393955 591725 100 S20032132003243.MON.chlor_a.csv 179303.3256 0.348003675 0.267105982 0.404241876 0.163411495 21.86490594 0.071765415 985680 470446 515234 100 57047.45399 0.0514230513 -0.0022080295 0.6320865613 0.9105651349 75.0509036913 -0.0062038522 0 -76491 76491 0
Sep 03Sep S20032442003273.MON.chlor_a.csv 390179.891592 0.6545917593 0.4433286463 1.0239873429 1.0485500785 79.9346313477 0.1320169121 985680 389614 596066 100 S20032442003273.MON.chlor_a.csv 339032.2787 0.591208879 0.435584381 0.706085067 0.498556121 40.69525909 0.095680311 985680 412224 573456 100 51147.612892 0.0633828803 0.0077442653 0.3179022759 0.5499939575 39.2393722577 0.0363366011 0 -22610 22610 0
Oct 03Oct S20032742003304.MON.chlor_a.csv 459127.792764 0.7678518388 0.5498346495 0.8692636109 0.7556192252 90.6375274658 0.1502837241 985680 387742 597938 100 S20032742003304.MON.chlor_a.csv 397119.4378 0.6821471 0.527064924 0.745360599 0.555562423 62.19617081 0.207579985 985680 403519 582161 100 62008.354964 0.0857047388 0.0227697255 0.1239030119 0.2000568022 28.4413566558 -0.0572962609 0 -15777 15777 0
Nov 03Nov S20033052003334.MON.chlor_a.csv 609641.20545 1.0199376392 0.8018793906 1.0276822478 1.0561308024 85.957069397 0.1114724651 985680 387956 597724 100 S20033052003334.MON.chlor_a.csv 501863.0858 0.910326657 0.760059714 0.759401369 0.576690439 62.4197731 0.096322306 985680 434380 551300 100 107778.11965 0.1096109822 0.0418196766 0.2682808788 0.4794403634 23.537296297 0.0151501591 0 -46424 46424 0
Dec 03Dec S20033352003365.MON.chlor_a.csv 381892.937595 0.6912314566 0.5749722272 0.7179052454 0.5153879413 95.7752151489 0.0213370491 985680 433198 552482 100 S20033352003365.MON.chlor_a.csv 246600.6269 0.596817049 0.505860413 0.470325989 0.221206536 17.78706551 0.103960656 985680 572487 413193 100 135292.310695 0.0944144076 0.0691118142 0.2475792564 0.2941814053 77.9881496389 -0.0826236069 0 -139289 139289 0
Jan 04Jan S20040012004031.MON.chlor_a.csv 317532.916538 0.5709329363 0.4737286766 0.6283096396 0.3947730032 76.4833831787 0.001 985680 429515 556165 100 S20040012004031.MON.chlor_a.csv 240090.2409 0.530348244 0.474291166 0.34105384 0.116317722 17.9478569 0.134443015 985680 532977 452703 100 77442.675638 0.0405846923 -0.0005624894 0.2872557996 0.2784552812 58.5355262787 -0.133443015 0 -103462 103462 0
Feb 04Feb S20040322004060.MON.chlor_a.csv 392024.304022 0.6627865132 0.4922679748 0.7208077071 0.5195637506 43.1564064026 0.0506961383 985680 394201 591479 100 S20040322004060.MON.chlor_a.csv 332731.6796 0.598231689 0.474758431 0.533227218 0.284331266 27.93608665 0.125192002 985680 429488 556192 100 59292.624422 0.0645548242 0.0175095438 0.1875804891 0.2352324846 15.2203197526 -0.0744958637 0 -35287 35287 0
Mar 04Mar S20040612004091.MON.chlor_a.csv 473722.382635 0.7963099203 0.6889781985 0.5939514781 0.3527783584 59.1282501221 0.1219012439 985680 390783 594897 100 S20040612004091.MON.chlor_a.csv 393407.7756 0.694673993 0.61818473 0.415000859 0.172225713 14.93787289 0.23388277 985680 419360 566320 100 80314.607035 0.1016359273 0.0707934685 0.1789506191 0.1805526454 44.1903772321 -0.1119815261 0 -28577 28577 0
Apr 04Apr S20040922004121.MON.chlor_a.csv 708896.459142 1.1883110429 1.0324507214 0.8174538242 0.6682307547 97.4702987671 0.1975554079 985680 389122 596558 100 S20040922004121.MON.chlor_a.csv 590954.8672 1.023213425 0.90027528 0.553624707 0.306500316 26.72142601 0.278717756 985680 408132 577548 100 117941.591942 0.1650976179 0.1321754414 0.2638291172 0.3617304387 70.7488727571 -0.0811623481 0 -19010 19010 0
May 04May S20041222004152.MON.chlor_a.csv 598701.547316 1.0089920004 0.7369503612 1.1663888371 1.3604629194 89.2646102905 0.1306945235 985680 392314 593366 100 S20041222004152.MON.chlor_a.csv 458613.9915 0.79979699 0.613328144 0.801236228 0.641979494 34.46195602 0.138613418 985680 412267 573413 100 140087.555816 0.2091950104 0.1236222172 0.3651526091 0.7184834254 54.8026542705 -0.0079188945 0 -19953 19953 0
Jun 04Jun S20041532004182.MON.chlor_a.csv 288533.562539 0.4863846063 0.3231203631 1.1999621964 1.4399092728 92.8808670044 0.1386259049 985680 392459 593221 100 S20041532004182.MON.chlor_a.csv 230249.6987 0.398813343 0.31381527 0.349658005 0.122260721 11.21027088 0.128735751 985680 408343 577337 100 58283.863839 0.0875712633 0.0093050931 0.8503041914 1.3176485518 81.6705961244 0.0098901539 0 -15884 15884 0
Jul 04Jul S20041832004213.MON.chlor_a.csv 275038.418488 0.4641395439 0.288180536 1.4413461009 2.0774785827 98.2258682251 0.0726819932 985680 393103 592577 100 S20041832004213.MON.chlor_a.csv 208873.2061 0.370661306 0.282195181 0.440913159 0.194404413 26.07021523 0.112550009 985680 422165 563515 100 66165.212388 0.0934782379 0.005985355 1.0004329419 1.8830741697 72.1556529951 -0.0398680158 0 -29062 29062 0
Aug 04Aug S20042142004244.MON.chlor_a.csv 261086.482998 0.4387757389 0.297026034 0.9470389141 0.8968827048 88.6967926025 0.1068416759 985680 390646 595034 100 S20042142004244.MON.chlor_a.csv 217352.9089 0.376227303 0.292726398 0.693696039 0.481214195 73.34391022 0.089605369 985680 407963 577717 100 43733.574098 0.0625484359 0.004299636 0.2533428751 0.4156685098 15.3528823825 0.0172363069 0 -17317 17317 0
Sep 04Sep S20042452004274.MON.chlor_a.csv 300896.042496 0.5092889199 0.3655619356 0.9075839829 0.823708686 96.1776580811 0.001 985680 394864 590816 100 S20042452004274.MON.chlor_a.csv 252678.3035 0.454196789 0.356289975 0.928315912 0.861770432 85.634758 0.092304617 985680 429361 556319 100 48217.738996 0.0550921309 0.0092719606 -0.0207319291 -0.038061746 10.5429000811 -0.091304617 0 -34497 34497 0
Oct 04Oct S20042752004305.MON.chlor_a.csv 428337.039207 0.7163329853 0.5793384332 0.8544089408 0.7300146382 93.7814483643 0.1219023168 985680 387722 597958 100 S20042752004305.MON.chlor_a.csv 361355.6651 0.667517018 0.581031392 0.474106723 0.224777185 19.19954109 0.149812266 985680 444337 541343 100 66981.374107 0.0488159673 -0.0016929588 0.3803022178 0.5052374532 74.5819072743 -0.0279099492 0 -56615 56615 0
