Month,YMonth,FileLAC_2003,sumLAC_2003,meanLAC_2003,medianLAC_2003,stdLAC_2003,varLAC_2003,maxLAC_2003,minLAC_2003,totalpixLAC_2003,nanpixLAC_2003,statipixLAC_2003,percentLAC_2003,fileGAC_2003,sumGAC_2003,meanGAC_2003,medianGAC_2003,stdGAC_2003,varGAC_2003,maxGAC_2003,minGAC_2003,totalpixGAC_2003,nanpixGAC_2003,statipixGAC_2003,percentGAC_2003,sumDIFF_2003,meanDIFF_2003,medianDIFF_2003,stdDIFF_2003,varDIFF_2003,maxDIFF_2003,minDIFF_2003,totalpixDIFF_2003,nanpixDIFF_2003,statipixDIFF_2003,percentDIFF_2003,FileLAC_2004,sumLAC_2004,meanLAC_2004,medianLAC_2004,stdLAC_2004,varLAC_2004,maxLAC_2004,minLAC_2004,totalpixLAC_2004,nanpixLAC_2004,statipixLAC_2004,percentLAC_2004,fileGAC_2004,sumGAC_2004,meanGAC_2004,medianGAC_2004,stdGAC_2004,varGAC_2004,maxGAC_2004,minGAC_2004,totalpixGAC_2004,nanpixGAC_2004,statipixGAC_2004,percentGAC_2004,sumDIFF_2004,meanDIFF_2004,medianDIFF_2004,stdDIFF_2004,varDIFF_2004,maxDIFF_2004,minDIFF_2004,totalpixDIFF_2004,nanpixDIFF_2004,statipixDIFF_2004,percentDIFF_2004,FileLAC_2005,sumLAC_2005,meanLAC_2005,medianLAC_2005,stdLAC_2005,varLAC_2005,maxLAC_2005,minLAC_2005,totalpixLAC_2005,nanpixLAC_2005,statipixLAC_2005,percentLAC_2005,fileGAC_2005,sumGAC_2005,meanGAC_2005,medianGAC_2005,stdGAC_2005,varGAC_2005,maxGAC_2005,minGAC_2005,totalpixGAC_2005,nanpixGAC_2005,statipixGAC_2005,percentGAC_2005,sumDIFF_2005,meanDIFF_2005,medianDIFF_2005,stdDIFF_2005,varDIFF_2005,maxDIFF_2005,minDIFF_2005,totalpixDIFF_2005,nanpixDIFF_2005,statipixDIFF_2005,percentDIFF_2005,FileLAC_2006,sumLAC_2006,meanLAC_2006,medianLAC_2006,stdLAC_2006,varLAC_2006,maxLAC_2006,minLAC_2006,totalpixLAC_2006,nanpixLAC_2006,statipixLAC_2006,percentLAC_2006,fileGAC_2006,sumGAC_2006,meanGAC_2006,medianGAC_2006,stdGAC_2006,varGAC_2006,maxGAC_2006,minGAC_2006,totalpixGAC_2006,nanpixGAC_2006,statipixGAC_2006,percentGAC_2006,sumDIFF_2006,meanDIFF_2006,medianDIFF_2006,stdDIFF_2006,varDIFF_2006,maxDIFF_2006,minDIFF_2006,totalpixDIFF_2006,nanpixDIFF_2006,statipixDIFF_2006,percentDIFF_2006,,,,,,,,,,,,
Jan,03Jan,S20030012003031.MON.chlor_a.csv,61760.9135,2.224576361,1.908227432,1.769294503,3.13040304,60.32893753,1.000017842,985680,510686,27763,5.844915936,S20030012003031.MON.chlor_a.csv,25118.2741,1.978907595,1.805933809,0.837244859,0.700978954,9.845061302,1.000274301,985680,606196,12693,3.344805051,36642.6394,0.245668766,0.102293623,0.932049644,2.429424086,50.483876228,-0.000256459,0,-95510,15070,2.500110885,S20040012004031.MON.chlor_a.csv,60060.11365,2.230479209,1.806337786,2.201269318,4.845586609,76.48338318,1.00000003,985680,429515,26927,4.841548821,S20040012004031.MON.chlor_a.csv,25984.86574,2.060492089,1.900227189,1.077208662,1.1603785,17.9478569,1.00002922,985680,532977,12611,2.785711603,34075.24791,0.16998712,-0.093889403,1.124060656,3.685208109,58.53552628,-0.00002919,0,-103462,14316,2.055837218,S20050012005031.MON.chlor_a.csv,48745.69058,2.399728774,1.813992083,2.75070772,7.566392963,87.6893158,1.000072345,985680,617035,20313,5.51017917,S20050012005031.MON.chlor_a.csv,17378.06719,2.087455519,1.783111056,1.134901218,1.288000774,11.25720406,1.000750261,985680,619145,8325,2.271270138,31367.62339,0.312273255,0.030881027,1.615806502,6.278392189,76.43211174,-0.000677916,0,-2110,11988,3.238909032,S20060012006031.MON.chlor_a.csv,310837.455854,0.609315555,0.4798269339,0.7488934108,0.5608413407,92.6855316162,0.0214473642,985680,475538,510142,100,S20060012006031.MON.chlor_a.csv,75635.77186,2.160836839,1.57862854,2.295604995,5.269802294,92.68553162,1.000000144,985680,475538,35003,6.861422898,S20060012006031.MON.chlor_a.csv,31309.32926,1.798353203,1.452692747,1.323574576,1.751849657,20.06673241,1.00003218,985680,542624,17410,3.929525839,44326.4426,0.362483636,0.125935793,0.972030419,3.517952637,72.61879921,-0.000032036,0,-67086,17593,2.931897059
Feb,03Feb,S20030322003059.MON.chlor_a.csv,73198.5674,2.109408011,1.566565752,1.855800977,3.443997265,42.34214187,1.000029481,985680,393647,34701,5.861328676,S20030322003059.MON.chlor_a.csv,41430.37856,1.937538164,1.439939559,1.623052429,2.634299188,20.0573597,1.000074625,985680,427584,21383,3.831419684,31768.18884,0.171869847,0.126626193,0.232748548,0.809698077,22.28478217,-0.000045144,0,-33937,13318,2.029908992,S20040322004060.MON.chlor_a.csv,131330.7735,1.99281924,1.498752669,1.593193824,2.538266559,43.1564064,1.000092432,985680,394201,65902,11.14190022,S20040322004060.MON.chlor_a.csv,89338.67718,1.787631607,1.431409316,1.198988869,1.437574307,27.93608665,1.000029842,985680,429488,49976,8.985386341,41992.09632,0.205187633,0.067343353,0.394204955,1.100692252,15.22031975,0.00006259,0,-35287,15926,2.156513879,S20050322005059.MON.chlor_a.csv,34358.13769,2.68046011,1.873794066,3.155117014,9.954763371,68.98257446,1.000020355,985680,660656,12818,3.943708772,S20050322005059.MON.chlor_a.csv,22382.41591,2.379336229,2.159288168,1.356938492,1.84128207,16.58465385,1.000258781,985680,637942,9407,2.705197591,11975.72178,0.301123881,-0.285494102,1.798178522,8.113481301,52.39792061,-0.000238426,0,22714,3411,1.238511181,S20060322006059.MON.chlor_a.csv,318799.003109,0.566365131,0.4676794801,0.5643956804,0.3185424841,97.4656982422,0.0222747047,985680,422794,562886,100,S20060322006059.MON.chlor_a.csv,58596.96467,2.067276933,1.610640645,1.889622942,3.570674865,97.46569824,1.000025952,985680,422794,28345,5.035655532,S20060322006059.MON.chlor_a.csv,29642.72265,1.813787104,1.445219517,1.960881068,3.845054563,60.69631958,1.000287747,985680,498190,16343,3.352479025,28954.24202,0.253489829,0.165421128,-0.071258126,-0.274379698,36.76937866,-0.000261795,0,-75396,12002,1.683176507
Mar,03Mar,S20030602003090.MON.chlor_a.csv,278611.5571,1.607525846,1.314724591,1.009623853,1.019340324,64.4377594,1.000000387,985680,392534,173317,29.21995596,S20030602003090.MON.chlor_a.csv,211075.6191,1.503012918,1.286316077,0.698692135,0.4881707,18.24465164,1.000013232,985680,416537,140435,24.6748181,67535.938,0.104512928,0.028408514,0.310931718,0.531169624,46.19310776,-0.000012845,0,-24003,32882,4.54513786,S20040612004091.MON.chlor_a.csv,141081.2787,1.723677487,1.299730212,1.178448825,1.388741633,59.12825012,1.000002801,985680,390783,81849,13.75851618,S20040612004091.MON.chlor_a.csv,78290.57814,1.616405041,1.283523599,0.894932602,0.800904362,14.93787289,1.00002866,985680,419360,48435,8.552585111,62790.70056,0.107272446,0.016206613,0.283516223,0.587837271,44.19037723,-0.000025859,0,-28577,33414,5.205931069,S20050602005090.MON.chlor_a.csv,102951.2046,1.778577925,1.257586459,2.714671956,7.369443826,85.42093658,1.000011206,985680,633610,57884,16.44104866,S20050602005090.MON.chlor_a.csv,95781.07034,1.665844659,1.375668168,1.225281814,1.501315524,55.97946548,1.000009424,985680,412808,57497,10.03662249,7170.13426,0.112733266,-0.118081709,1.489390142,5.868128302,29.4414711,0.000001782,0,220802,387,6.40442617,S20060602006090.MON.chlor_a.csv,491650.998726,0.878600887,0.6433647275,1.1018188232,1.2140047191,97.7441101074,0.0897195712,985680,426096,559584,100,S20060602006090.MON.chlor_a.csv,234789.7959,2.106890729,1.48119089,2.013296652,4.05336341,97.74411011,1.000000835,985680,426096,111439,19.91461514,S20060602006090.MON.chlor_a.csv,127934.3162,2.277586588,1.588005811,1.776754127,3.156855226,18.19058609,1.000001037,985680,423010,56171,9.98293849,106855.4797,-0.170695859,-0.106814921,0.236542525,0.896508184,79.55352402,-0.000000202,0,3086,55268,9.93167665
Apr,03Apr,S20030912003120.MON.chlor_a.csv,855867.5307,1.940826318,1.508689205,1.395406252,1.947158607,79.25921631,1.000001296,985680,392653,440981,74.36103247,S20030912003120.MON.chlor_a.csv,862669.0765,2.092546601,1.508919636,1.915354245,3.668581883,46.17442918,1.000015602,985680,422627,412258,73.21832936,-6801.5458,-0.151720283,-0.000230431,-0.519947993,-1.721423276,33.08478713,-0.000014306,0,-29974,28723,1.14270311,S20040922004121.MON.chlor_a.csv,504585.4483,1.599066545,1.354792087,0.938495493,0.88077379,97.47029877,1.000005916,985680,389122,315550,52.89510827,S20040922004121.MON.chlor_a.csv,332560.2069,1.472900033,1.266390142,0.643006429,0.413457268,26.72142601,1.000012428,985680,408132,225786,39.09389349,172025.2414,0.126166512,0.088401945,0.295489064,0.467316522,70.74887276,-0.000006512,0,-19010,89764,13.80121478,S20050912005120.MON.chlor_a.csv,359275.0845,1.642941149,1.297580095,1.389426668,1.930506467,84.78638458,1.000003956,985680,392407,218678,36.85959078,S20050912005120.MON.chlor_a.csv,337814.082,1.532113085,1.263760362,0.974750882,0.950139282,21.40729426,1.000001162,985680,411813,220489,38.42162034,21461.0025,0.110828064,0.033819733,0.414675786,0.980367185,63.37909032,0.000002794,0,-19406,-1811,-1.56202956,S20060912006120.MON.chlor_a.csv,588633.392511,1.0402750449,0.9012385979,0.8053620542,0.6486080384,98.3231964111,0.1026322395,985680,419836,565844,100,S20060912006120.MON.chlor_a.csv,380617.9537,1.598100314,1.382231951,0.972482697,0.945722597,98.32319641,1.000000318,985680,419836,238169,42.09092966,S20060912006120.MON.chlor_a.csv,376978.2447,1.683803045,1.438053161,0.810703418,0.657240031,19.59503174,1.000024229,985680,502656,223885,46.35069893,3639.709,-0.085702731,-0.05582121,0.161779279,0.288482566,78.72816467,-0.000023911,0,-82820,14284,-4.25976927
May,03May,S20031212003151.MON.chlor_a.csv,189151.2246,1.560331818,1.200607263,1.347620956,1.816082242,85.05762482,1.000000119,985680,411907,121225,21.12769336,S20031212003151.MON.chlor_a.csv,163883.9411,1.34636791,1.187942306,0.472462062,0.2232204,9.047087669,1.000005245,985680,443438,121723,22.44809513,25267.2835,0.213963908,0.012664957,0.875158894,1.592861842,76.010537151,-0.000005126,0,-31531,-498,-1.32040177,S20041222004152.MON.chlor_a.csv,342967.9223,1.971771266,1.429888275,1.799728175,3.239021504,89.26461029,1.00000247,985680,392314,173939,29.31394788,S20041222004152.MON.chlor_a.csv,179084.4017,2.007650158,1.550993443,1.490861183,2.222667068,34.46195602,1.000015342,985680,412267,89201,15.55615237,163883.5206,-0.035878892,-0.121105168,0.308866992,1.016354436,54.80265427,-0.000012872,0,-19953,84738,13.75779551,S20051212005151.MON.chlor_a.csv,273130.8328,2.15959796,1.60750702,1.677898968,2.815344947,80.42250824,1.000002146,985680,398970,126473,21.5563055,S20051212005151.MON.chlor_a.csv,211652.3309,1.835586756,1.4229334,0.996149945,0.992314712,9.691064864,1.000030257,985680,412361,115305,20.11184001,61478.5019,0.324011204,0.18457362,0.681749023,1.823030235,70.731443376,-0.000028111,0,-13391,11168,1.44446549,S20061212006151.MON.chlor_a.csv,549547.54698,0.9446504184,0.8061576486,0.8705108781,0.757789189,90.3890762329,0.118991971,985680,403933,581747,100,S20061212006151.MON.chlor_a.csv,294608.6462,1.522509567,1.245734376,1.30828252,1.711603152,90.38907623,1.000001714,985680,403933,193502,33.26222568,S20061212006151.MON.chlor_a.csv,216077.5412,1.393176794,1.243513835,0.793446431,0.629557239,41.21396592,1.000002325,985680,459694,155097,29.4869065,78531.105,0.129332773,0.002220541,0.514836089,1.082045913,49.17511031,-0.000000611,0,-55761,38405,3.77531918
Jun,03Jun,S20031522003181.MON.chlor_a.csv,30423.13207,2.43970586,1.691397448,2.821636328,7.961631566,93.27672577,1.000083983,985680,414952,12470,2.184928723,S20031522003181.MON.chlor_a.csv,5984.990279,1.552929496,1.411156058,0.530352644,0.281273927,3.774416447,1.000625968,985680,557608,3854,0.900315835,24438.141791,0.886776364,0.28024139,2.291283684,7.680357639,89.502309323,-0.000541985,0,-142656,8616,1.284612888,S20041532004182.MON.chlor_a.csv,83946.73811,3.216226892,1.80961988,4.949728673,24.49981393,92.880867,1.000013141,985680,392459,26101,4.399877954,S20041532004182.MON.chlor_a.csv,31989.92767,1.875802021,1.492609412,1.126050085,1.267988793,11.21027088,1.000058596,985680,408343,17054,2.953907337,51956.81044,1.340424871,0.317010468,3.823678588,23.231825137,81.67059612,-0.000045455,0,-15884,9047,1.445970617,S20051522005181.MON.chlor_a.csv,17990.3747,2.421967515,1.774749468,2.550685161,6.505994792,64.07808685,1.000212997,985680,672690,7428,2.373238762,S20051522005181.MON.chlor_a.csv,15358.67971,1.568652815,1.385452449,0.66482661,0.441994421,8.04919529,1.001332998,985680,567869,9791,2.343404075,2631.69499,0.8533147,0.389297019,1.885858551,6.064000371,56.02889156,-0.001120001,0,104821,-2363,0.029834687,S20061522006181.MON.chlor_a.csv,251205.153504,0.4429215179,0.3469564319,0.5905388495,0.3487361328,99.7268753052,0.112300761,985680,418525,567155,100,S20061522006181.MON.chlor_a.csv,45508.81458,1.935145409,1.381968968,2.388745465,5.706104897,99.72687531,1.000044346,985680,418525,23517,4.146485529,S20061522006181.MON.chlor_a.csv,19399.93935,1.556477804,1.266731709,0.73794311,0.544560033,6.541187763,1.000106822,985680,562217,12464,2.943350423,26108.87523,0.378667605,0.115237259,1.650802355,5.161544864,93.185687547,-0.000062476,0,-143692,11053,1.203135106
Jul,03Jul,S20031822003212.MON.chlor_a.csv,52080.75924,2.989710634,2.058657378,4.038766107,16.31163167,99.53390503,1.00017786,985680,463362,17420,3.335133003,S20031822003212.MON.chlor_a.csv,10728.85291,1.865563017,1.493807674,1.061158835,1.126058074,11.28640938,1.001132965,985680,674019,5751,1.845274192,41351.90633,1.124147617,0.564849704,2.977607272,15.185573596,88.24749565,-0.000955105,0,-210657,11669,1.489858811,S20041832004213.MON.chlor_a.csv,94324.13653,3.22167281,1.787846188,5.806087569,33.71065286,98.22586823,1.000076868,985680,393103,29278,4.940792505,S20041832004213.MON.chlor_a.csv,36522.09792,1.883456135,1.460493207,1.667335798,2.780008665,26.07021523,1.000045121,985680,422165,19391,3.441079652,57802.03861,1.338216675,0.327352981,4.138751771,30.930644195,72.155653,0.000031747,0,-29062,9887,1.499712853,S20051822005212.MON.chlor_a.csv,39484.06906,2.779980924,1.801868677,3.91085688,15.29480153,97.2804718,1.000301436,985680,469933,14203,2.75386963,S20051822005212.MON.chlor_a.csv,11617.55922,1.71098074,1.311656773,1.299121262,1.687716053,10.90491962,1.000265211,985680,570298,6790,1.634639922,27866.50984,1.069000184,0.490211904,2.611735618,13.607085477,86.37555218,0.000036225,0,-100365,7413,1.119229708,S20061822006212.MON.chlor_a.csv,133265.148744,0.4385453098,0.3382704705,0.8641991372,0.7468401487,92.4248657227,0.001,985680,681800,303880,100,S20061822006212.MON.chlor_a.csv,26461.40713,2.387567186,1.517124534,4.006259799,16.05011758,92.42486572,1.000001073,985680,681800,11083,3.647163354,S20061822006212.MON.chlor_a.csv,70419.85774,2.194995878,1.678347826,1.614319551,2.606027612,18.67492294,1.000016371,985680,546090,32082,7.298164199,-43958.45061,0.192571308,-0.161223292,2.391940248,13.444089968,73.74994278,-0.000015298,0,135710,-20999,-3.651000845
Aug,03Aug,S20032132003243.MON.chlor_a.csv,68105.69715,3.134034198,1.899533856,4.596836445,21.1309053,96.91580963,1.000000755,985680,393955,21731,3.672482995,S20032132003243.MON.chlor_a.csv,29534.90431,2.145808218,1.716606855,1.512078642,2.28638182,21.86490594,1.0001252,985680,470446,13764,2.671407555,38570.79284,0.98822598,0.182927001,3.084757803,18.84452348,75.05090369,-0.000124445,0,-76491,7967,1.00107544,S20042142004244.MON.chlor_a.csv,77815.31816,2.742680042,1.744375411,3.594026231,12.91702455,88.6967926,1.000014007,985680,390646,28372,4.768130897,S20042142004244.MON.chlor_a.csv,40337.20501,2.027708491,1.453195244,3.271585198,10.70326971,73.34391022,1.000006688,985680,407963,19893,3.443381448,37478.11315,0.714971551,0.291180167,0.322441033,2.21375484,15.35288238,0.000007319,0,-17317,8479,1.324749449,S20052132005243.MON.chlor_a.csv,74240.32755,2.463182732,1.581252933,3.355562228,11.25979787,69.98996735,1.000012626,985680,394813,30140,5.100978731,S20052132005243.MON.chlor_a.csv,31941.89554,1.694260624,1.323947529,1.221731285,1.492627332,16.56805992,1.000018537,985680,414279,18853,3.299434198,42298.43201,0.768922108,0.257305404,2.133830943,9.767170538,53.42190743,-0.000005911,0,-19466,11287,1.801544533,S20062132006243.MON.chlor_a.csv,263407.12485,0.443736186,0.2830077901,1.017908395,1.0361375006,88.5700912476,0.0825699866,985680,392068,593612,100,S20062132006243.MON.chlor_a.csv,83338.28444,2.597017278,1.665128087,3.723568914,13.86496546,88.57009125,1.000008598,985680,392068,32090,5.405888021,S20062132006243.MON.chlor_a.csv,50090.60916,1.897443432,1.448571841,1.731796507,2.999119141,39.41339469,1.000028479,985680,407407,26399,4.565144836,33247.67528,0.699573846,0.216556246,1.991772407,10.865846319,49.15669656,-0.000019881,0,-15339,5691,0.840743185
Sep,03Sep,S20032442003273.MON.chlor_a.csv,151161.713,2.203716258,1.516094112,2.484024632,6.170378372,79.93463135,1.000011543,985680,389614,68594,11.50778605,S20032442003273.MON.chlor_a.csv,110255.4166,1.85147635,1.449726731,1.66415082,2.76939795,40.69525909,1.000110408,985680,412224,59550,10.38440613,40906.2964,0.352239908,0.066367381,0.819873812,3.400980422,39.23937226,-0.000098865,0,-22610,9044,1.12337992,S20042452004274.MON.chlor_a.csv,73710.45919,2.910810694,2.055261135,3.564123559,12.70297674,96.17765808,1.000045275,985680,394864,25323,4.286105996,S20042452004274.MON.chlor_a.csv,39319.31845,2.541649544,1.431272507,5.074478755,25.75033464,85.634758,1.001130074,985680,429361,15470,2.780778654,34391.14074,0.36916115,0.623988628,-1.510355196,-13.0473579,10.54290008,-0.001084799,0,-34497,9853,1.505327342,S20052442005273.MON.chlor_a.csv,72610.4345,2.597404203,1.61830465,4.063781082,16.51431668,99.71570587,1.000001654,985680,397279,27955,4.75101164,S20052442005273.MON.chlor_a.csv,39087.62942,2.167921765,1.504201293,3.34913925,11.21673372,65.1255188,1.000069082,985680,422359,18030,3.20066179,33522.80508,0.429482438,0.114103357,0.714641832,5.29758296,34.59018707,-0.000067428,0,-25080,9925,1.55034985,S20062442006273.MON.chlor_a.csv,407720.867914,0.6826053663,0.4307887316,0.9688904855,0.9387487729,65.9273452759,0.0868443698,985680,388379,597301,100,S20062442006273.MON.chlor_a.csv,182496.6864,1.985666885,1.451931953,1.972404434,3.89037925,65.92734528,1.000008516,985680,388379,91907,15.38704941,S20062442006273.MON.chlor_a.csv,159051.9644,1.766341252,1.524270848,1.28954618,1.662929349,45.42617023,1.00000823,985680,406551,90046,15.548522,23444.722,0.219325633,-0.072338895,0.682858254,2.227449901,20.50117505,0.000000286,0,-18172,1861,-0.16147259
Oct,03Oct,S20032742003304.MON.chlor_a.csv,186848.0968,1.885297825,1.410647614,1.709618327,2.922794822,90.63752747,1.000006214,985680,387742,99108,16.57496262,S20032742003304.MON.chlor_a.csv,129368.055,1.642581229,1.340972023,1.691182941,2.860099739,62.19617081,1.000002712,985680,403519,78759,13.52873174,57480.0418,0.242716596,0.069675591,0.018435386,0.062695083,28.44135666,0.000003502,0,-15777,20349,3.04623088,S20042752004305.MON.chlor_a.csv,112330.4272,2.17808596,1.521776412,2.422230366,5.867199948,93.78144836,1.000040568,985680,387722,51573,8.624853251,S20042752004305.MON.chlor_a.csv,72922.1071,1.660868836,1.274903715,1.184668024,1.403438327,19.19954109,1.00000006,985680,444337,43906,8.110569454,39408.3201,0.517217124,0.246872697,1.237562342,4.463761621,74.58190727,0.000040508,0,-56615,7667,0.514283797,S20052742005304.MON.chlor_a.csv,119848.2097,1.954503656,1.289335132,2.087367661,4.357103753,73.30386353,1.000003696,985680,389116,61319,10.278696,S20052742005304.MON.chlor_a.csv,88904.99711,1.516192798,1.196644878,1.919416804,3.684160866,78.83913422,1.000036955,985680,404006,58637,10.08073251,30943.21259,0.438310858,0.092690254,0.167950857,0.672942887,-5.53527069,-0.000033259,0,-14890,2682,0.19796349,S20062742006304.MON.chlor_a.csv,391721.87362,0.6565398471,0.5172686825,0.7151371303,0.5114211151,85.0446472168,0.0877532214,985680,389034,596646,100,S20062742006304.MON.chlor_a.csv,103590.8097,1.992399164,1.410367489,1.910763292,3.651016356,85.04464722,1.000003183,985680,389034,51993,8.714212448,S20062742006304.MON.chlor_a.csv,56550.48308,1.681148792,1.342163781,0.938676956,0.881114428,12.12176132,1.000008583,985680,407503,33638,5.817941565,47040.32662,0.311250372,0.068203708,0.972086336,2.769901928,72.9228859,-0.0000054,0,-18469,18355,2.896270883
