Month,YMonth,fileLAC,sumLAC,meanLAC,medianLAC,stdLAC,varLAC,maxLAC,minLAC,totalpixLAC,nanpixLAC,statipixLAC,percentLAC,fileGAC,sumGAC,meanGAC,medianGAC,stdGAC,varGAC,maxGAC,minGAC,totalpixGAC,nanpixGAC,statipixGAC,percentGAC,sumDIFF,meanDIFF,medianDIFF,stdDIFF,varDIFF,maxDIFF,minDIFF,totalpixDIFF,nanpixDIFF,statipixDIFF,percentDIFF
Jan,03Jan,S20030012003031.MON.chlor_a.csv,7846.63919927,8.6512008812,6.6695373058,5.8520954272,34.2470208894,60.3289375305,5.0029687405,985680,510686,907,0.1909497804,S20030012003031.MON.chlor_a.csv,658.42468071,8.2303085089,8.9655885696,1.7223238322,2.9663993829,9.8450613022,5.4199848175,985680,606196,80,0.0210812577,7188.21451856,0.4208923723,-2.2960512638,4.129771595,31.2806215065,50.4838762283,-0.417016077,0,-95510,827,0.1698685227
Feb,03Feb,S20030322003059.MON.chlor_a.csv,13250.8503974,8.255981556,6.6809348663,4.6067124676,21.2217997591,42.3421418667,5.0005569458,985680,393647,1605,0.2710997529,S20030322003059.MON.chlor_a.csv,7299.48387851,7.8998743274,6.4373340607,3.4901458363,12.1811179586,20.0573596954,5.0322598219,985680,427584,924,0.1655629139,5951.36651889,0.3561072286,0.2436008056,1.1165666313,9.0406818005,22.2847821713,-0.0317028761,0,-33937,681,0.105536839
Mar,03Mar,S20030602003090.MON.chlor_a.csv,15686.2936568,7.890489767,6.5293536969,4.0166321705,16.133333993,64.4377593994,5.0010162965,985680,392534,1988,0.3351620006,S20030602003090.MON.chlor_a.csv,4508.39790304,7.3426675945,6.2366034985,3.0118612925,9.0713084454,18.2446516355,5.0104281455,985680,416537,614,0.107881499,11177.89575376,0.5478221725,0.2927501984,1.004770878,7.0620255477,46.1931077639,-0.009411849,0,-24003,1374,0.2272805016
Apr,03Apr,S20030912003120.MON.chlor_a.csv,146132.343011,6.7921144788,6.1813295682,2.1908687045,4.7999056801,79.2592163086,5.0001727343,985680,392653,21515,3.6279967017,S20030912003120.MON.chlor_a.csv,224746.639362,7.935688689,6.9657112584,3.2548744296,10.5942075522,46.1744291782,5.000179404,985680,422627,28321,5.0298994944,-78614.296351,-1.1435742102,-0.7843816902,-1.0640057251,-5.7943018721,33.0847871304,-6.66971999940813E-06,0,-29974,-6806,-1.4019027927
May,03May,S20031212003151.MON.chlor_a.csv,19037.6075506,8.2592657487,6.5441770256,5.4313766515,29.4998523306,85.0576248169,5.0000503779,985680,411907,2305,0.4017268153,S20031212003151.MON.chlor_a.csv,798.74257952,6.3392268216,5.9096627235,0.8579116672,0.7360124287,9.0470876694,5.3691468835,985680,443438,126,0.0232368573,18238.86497108,1.9200389271,0.6345143021,4.5734649843,28.7638399019,76.0105371475,-0.3690965056,0,-31531,2179,0.378489958
Jun,03Jun,S20031522003181.MON.chlor_a.csv,8739.09197254,9.6245506306,7.2921395302,6.6967678694,44.8466998969,93.276725769,5.0004014969,985680,414952,908,0.1590950505,S20031522003181.MON.chlor_a.csv,203.818488121,3.7744164467,3.7744164467,0,0,3.7744164467,3.7744164467,985680,557608,0,0,8535.273484419,5.8501341839,3.5177230835,6.6967678694,44.8466998969,89.5023093223,1.2259850502,0,-142656,908,0.1590950505
Jul,03Jul,S20031822003212.MON.chlor_a.csv,19237.0343442,10.2433622706,7.1719236871,9.1882901627,84.4246761136,99.5339050293,5.0037180185,985680,463362,1878,0.3595510781,S20031822003212.MON.chlor_a.csv,868.319610357,6.0721651074,5.3013048172,1.735407305,3.0116385141,11.2864093781,5.0168967247,985680,674019,143,0.0458831872,18368.714733843,4.1711971632,1.8706188699,7.4528828577,81.4130375995,88.2474956512,-0.0131787062,0,-210657,1735,0.3136678909
Aug,03Aug,S20032132003243.MON.chlor_a.csv,29849.2699392,11.047102124,7.7993030399,9.6064985426,92.2848142493,96.9158096313,5.0020586678,985680,393955,2702,0.4566310364,S20032132003243.MON.chlor_a.csv,4390.97579419,7.4549673925,6.3486537933,2.8463570746,8.1017485961,21.8649059385,5.0077438355,985680,470446,589,0.11431699,25458.29414501,3.5921347315,1.4506492466,6.760141468,84.1830656532,75.0509036928,-0.0056851677,0,-76491,2113,0.3423140464
Sep,03Sep,S20032442003273.MON.chlor_a.csv,36787.5160202,9.5428057121,7.3600209951,6.4503480395,41.6069898313,79.9346313477,5.0001560748,985680,389614,3855,0.6467404616,S20032442003273.MON.chlor_a.csv,13250.1814756,8.8041072928,6.5240120888,6.3603977391,40.4546593994,40.6952590942,5.0020635128,985680,412224,1505,0.2624438492,23537.3345446,0.7386984193,0.8360089063,0.0899503004,1.1523304319,39.2393722535,-0.001907438,0,-22610,2350,0.3842966124
Oct,03Oct,S20032742003304.MON.chlor_a.csv,24249.7368092,8.6730103037,6.8883373857,6.0063879136,36.0766957688,90.6375274658,5.0012913942,985680,387742,2796,0.4676070094,S20032742003304.MON.chlor_a.csv,7507.20973088,13.6992878301,7.4104170799,14.5235451154,210.933362718,62.1961708069,5.0005026658,985680,403519,548,0.0941320356,16742.52707832,-5.0262775264,-0.5220796942,-8.5171572018,-174.8566669492,28.4413566589,0.0007887284,0,-15777,2248,0.3734749738
