Month YMonth FileLAC_2003 sumLAC_2003 meanLAC_2003 medianLAC_2003 stdLAC_2003 varLAC_2003 maxLAC_2003 minLAC_2003 totalpixLAC_2003 nanpixLAC_2003 statipixLAC_2003 percentLAC_2003 fileGAC_2003 sumGAC_2003 meanGAC_2003 medianGAC_2003 stdGAC_2003 varGAC_2003 maxGAC_2003 minGAC_2003 totalpixGAC_2003 nanpixGAC_2003 statipixGAC_2003 percentGAC_2003 sumDIFF_2003 meanDIFF_2003 medianDIFF_2003 stdDIFF_2003 varDIFF_2003 maxDIFF_2003 minDIFF_2003 totalpixDIFF_2003 nanpixDIFF_2003 statipixDIFF_2003 percentDIFF_2003 FileLAC_2004 sumLAC_2004 meanLAC_2004 medianLAC_2004 stdLAC_2004 varLAC_2004 maxLAC_2004 minLAC_2004 totalpixLAC_2004 nanpixLAC_2004 statipixLAC_2004 percentLAC_2004 fileGAC_2004 sumGAC_2004 meanGAC_2004 medianGAC_2004 stdGAC_2004 varGAC_2004 maxGAC_2004 minGAC_2004 totalpixGAC_2004 nanpixGAC_2004 statipixGAC_2004 percentGAC_2004 sumDIFF_2004 meanDIFF_2004 medianDIFF_2004 stdDIFF_2004 varDIFF_2004 maxDIFF_2004 minDIFF_2004 totalpixDIFF_2004 nanpixDIFF_2004 statipixDIFF_2004 percentDIFF_2004 FileLAC_2005 sumLAC_2005 meanLAC_2005 medianLAC_2005 stdLAC_2005 varLAC_2005 maxLAC_2005 minLAC_2005 totalpixLAC_2005 nanpixLAC_2005 statipixLAC_2005 percentLAC_2005 fileGAC_2005 sumGAC_2005 meanGAC_2005 medianGAC_2005 stdGAC_2005 varGAC_2005 maxGAC_2005 minGAC_2005 totalpixGAC_2005 nanpixGAC_2005 statipixGAC_2005 percentGAC_2005 sumDIFF_2005 meanDIFF_2005 medianDIFF_2005 stdDIFF_2005 varDIFF_2005 maxDIFF_2005 minDIFF_2005 totalpixDIFF_2005 nanpixDIFF_2005 statipixDIFF_2005 percentDIFF_2005 FileLAC_2006 sumLAC_2006 meanLAC_2006 medianLAC_2006 stdLAC_2006 varLAC_2006 maxLAC_2006 minLAC_2006 totalpixLAC_2006 nanpixLAC_2006 statipixLAC_2006 percentLAC_2006 fileGAC_2006 sumGAC_2006 meanGAC_2006 medianGAC_2006 stdGAC_2006 varGAC_2006 maxGAC_2006 minGAC_2006 totalpixGAC_2006 nanpixGAC_2006 statipixGAC_2006 percentGAC_2006 sumDIFF_2006 meanDIFF_2006 medianDIFF_2006 stdDIFF_2006 varDIFF_2006 maxDIFF_2006 minDIFF_2006 totalpixDIFF_2006 nanpixDIFF_2006 statipixDIFF_2006 percentDIFF_2006
Jan 03Jan S20030012003031.MON.chlor_a.csv 3065.84553036 17.1276286613 13.7755304456 8.7512816171 76.5849299408 60.3289375305 10.0113868713 985680 510686 179 0.0376846865 S20030012003031.MON.chlor_a.csv 658.42468071 8.2303085089 8.9655885696 1.7223238322 2.9663993829 9.8450613022 5.4199848175 985680 606196 80 0.0210812577 2407.42084965 8.8973201524 4.809941876 7.0289577849 73.6185305579 50.4838762283 4.5914020538 0 -95510 99 0.0166034288 S20040012004031.MON.chlor_a.csv 3909.17003549 19.5458501774 14.7663861811 13.1400779201 172.661647746 76.4833831787 10.0035305023 985680 429515 200 0.0359605513 S20040012004031.MON.chlor_a.csv 299.161915779 17.5977597517 17.9478569031 0.7562962857 0.5719840718 17.9478569031 15.9639730453 985680 532977 17 0.0037552214 3610.008119711 1.9480904257 -3.181470722 12.3837816344 172.0896636742 58.5355262756 -5.960442543 0 -103462 183 0.0322053299 S20050012005031.MON.chlor_a.csv 4384.14392019 20.4866538326 14.5848971407 15.0749674482 227.254643564 87.6893157959 10.0585756302 985680 617035 214 0.0580504279 S20050012005031.MON.chlor_a.csv 99.5304908752 11.0589434306 10.959813118 0.1401914325 0.0196536378 11.2572040558 10.959813118 985680 619145 9 0.0024554272 4284.6134293148 9.427710402 3.6250840227 14.9347760157 227.2349899262 76.4321117401 -0.9012374878 0 -2110 205 0.0555950007 S20060012006031.MON.chlor_a.csv 6071.26209587 18.3421815585 14.3991861343 11.2362377101 126.253037879 92.6855316162 10.0629666646 985680 475538 331 0.0648838951 S20060012006031.MON.chlor_a.csv 1288.183773 15.1551032117 11.96878618 4.1110095061 16.9003991588 20.0667324066 11.4906724095 985680 542624 85 0.0191849337 4783.07832287 3.1870783468 2.4303999543 7.1252282041 109.3526387202 72.6187992096 -1.4277057449 0 -67086 246 0.0456989614
Feb 03Feb S20030322003059.MON.chlor_a.csv 4745.69112387 15.4080880645 12.4409472346 6.3638461691 40.4985380636 42.3421418667 10.0114629666 985680 393647 308 0.052024127 S20030322003059.MON.chlor_a.csv 2021.92751741 15.3176327077 14.4413528442 3.4115702717 11.638811719 20.0573596954 10.4033545256 985680 427584 132 0.0236518448 2723.76360646 0.0904553568 -2.0004056096 2.9522758974 28.8597263446 22.2847821713 -0.391891559 0 -33937 176 0.0283722822 S20040322004060.MON.chlor_a.csv 5528.54091473 14.7035662626 12.2101938327 5.4880205295 30.118369332 43.1564064026 10.0097034931 985680 394201 376 0.0635694589 S20040322004060.MON.chlor_a.csv 1686.90064953 14.7973741187 12.3045200358 5.7682604539 33.2728286637 27.9360866547 10.0359656016 985680 429488 114 0.0204965192 3841.6402652 -0.0938078561 -0.0943262031 -0.2802399244 -3.1544593317 15.2203197479 -0.0262621085 0 -35287 262 0.0430729397 S20050322005059.MON.chlor_a.csv 6041.88855602 16.9715970675 14.4550905228 8.536741273 72.8759515617 68.9825744629 10.0017010144 985680 660656 356 0.1095303731 S20050322005059.MON.chlor_a.csv 458.632038116 16.379715647 16.5846538544 1.0648901627 1.1339910585 16.5846538544 10.8463840485 985680 637942 28 0.0080520392 5583.256517904 0.5918814205 -2.1295633316 7.4718511104 71.7419605032 52.3979206085 -0.8446830341 0 22714 328 0.1014783339 S20060322006059.MON.chlor_a.csv 3604.84147161 17.4146930996 13.928796368 9.9926469125 99.8529923183 97.4656982422 10.0009207428 985680 422794 207 0.0367747643 S20060322006059.MON.chlor_a.csv 1229.42758247 38.4196119523 30.5085631311 14.300864644 204.514729565 60.6963195801 11.9216911197 985680 498190 32 0.0065642372 2375.41388914 -21.0049188527 -16.5797667631 -4.3082177315 -104.6617372467 36.7693786621 -1.9207703769 0 -75396 175 0.0302105271
Mar 03Mar S20030602003090.MON.chlor_a.csv 4804.42401158 14.6031124972 12.8943397999 5.8772553538 34.5421304935 64.4377593994 10.0039182901 985680 392534 329 0.0554669508 S20030602003090.MON.chlor_a.csv 1147.55574573 13.5006558321 11.7021665573 3.1921990989 10.1901350872 18.2446516355 10.1387805939 985680 416537 85 0.0149347352 3656.86826585 1.1024566651 1.1921732426 2.6850562549 24.3519954063 46.1931077639 -0.1348623038 0 -24003 244 0.0405322156 S20040612004091.MON.chlor_a.csv 2402.97015248 15.5030332418 12.7630834579 7.5608155067 57.165931126 59.1282501221 10.0307350159 985680 390783 155 0.0260549305 S20040612004091.MON.chlor_a.csv 219.571139336 14.6380759557 14.678809166 0.2756796337 0.0759992604 14.9378728867 13.9847145081 985680 419360 15 0.0026486792 2183.399013144 0.8649572861 -1.9157257081 7.2851358731 57.0899318656 44.1903772354 -3.9539794922 0 -28577 140 0.0234062513 S20050602005090.MON.chlor_a.csv 14623.2340603 21.1013478504 16.8857004046 12.9496181255 167.692609596 85.4209365845 10.0495357513 985680 633610 693 0.1968358565 S20050602005090.MON.chlor_a.csv 2170.64350295 22.1494234995 17.1369568929 11.0483957274 122.067048149 55.9794654846 10.0231312769 985680 412808 98 0.0171067883 12452.59055735 -1.0480756491 -0.2512564883 1.9012223981 45.625561447 29.4414710999 0.0264044744 0 220802 595 0.1797290682 S20060602006090.MON.chlor_a.csv 13722.8955088 16.8379085998 13.5941879749 10.169290622 103.414471754 97.7441101074 10.0000812411 985680 426096 815 0.1456439069 S20060602006090.MON.chlor_a.csv 5697.72108662 11.8702522638 11.4705331624 1.7078518667 2.9167579987 18.1905860901 10.0049280524 985680 423010 480 0.0853075515 8025.17442218 4.967656336 2.1236548125 8.4614387553 100.4977137553 79.5535240173 -0.0048468113 0 3086 335 0.0603363554
Apr 03Apr S20030912003120.MON.chlor_a.csv 16211.8458793 12.7151732387 11.5923991885 4.6081200699 21.2347705789 79.2592163086 10.0016153412 985680 392653 1275 0.2149986426 S20030912003120.MON.chlor_a.csv 64837.7238377 13.6299608656 12.3961372674 4.0198075217 16.1588525118 46.1744291782 10.0019931793 985680 422627 4757 0.8448582993 -48625.8779584 -0.9147876269 -0.8037380789 0.5883125482 5.0759180671 33.0847871304 -0.0003778381 0 -29974 -3482 -0.6298596567 S20040922004121.MON.chlor_a.csv 6802.56090396 15.819909079 13.1425309703 8.1426991211 66.3035489768 97.4702987671 10.0134999156 985680 389122 430 0.0720801666 S20040922004121.MON.chlor_a.csv 784.539006879 16.0110001404 14.6058439016 5.5171476066 30.4389177127 26.7214260101 10.1668958664 985680 408132 49 0.0084841433 6018.021897081 -0.1910910614 -1.4633129313 2.6255515145 35.8646312641 70.748872757 -0.1533959508 0 -19010 381 0.0635960233 S20050912005120.MON.chlor_a.csv 12690.4669643 16.8756209632 14.1367612183 9.1870894667 84.4026128699 84.7863845825 10.0157518387 985680 392407 752 0.1267544621 S20050912005120.MON.chlor_a.csv 6298.40817584 13.7519829167 12.93357265 3.4711753262 12.0490581454 21.4072942585 10.0292278975 985680 411813 458 0.0798094332 6392.05878846 3.1236380465 1.2031885683 5.7159141405 72.3535547245 63.379090324 -0.0134760588 0 -19406 294 0.0469450289 S20060912006120.MON.chlor_a.csv 4735.00429459 18.7896995817 13.3433251381 14.00749629 196.209952313 98.3231964111 10.0432434082 985680 419836 252 0.0445352429 S20060912006120.MON.chlor_a.csv 2970.02810405 13.0838242469 12.2654965371 2.936555751 8.6233596789 19.5950317383 10.0694389343 985680 502656 227 0.0469955944 1764.97619054 5.7058753348 1.077828601 11.070940539 187.5865926341 78.7281646728 -0.0261955261 0 -82820 25 -0.0024603515
May 03May S20031212003151.MON.chlor_a.csv 6676.0243787 16.4840108116 13.5559110641 8.8611954343 78.5207845255 85.0576248169 10.0091901124 985680 411907 405 0.0705854057 S20031212003151.MON.chlor_a.csv 0 0 0 0 0 9.0470876694 5.3691468835 985680 443438 0 0 5877.28179918 10.14478399 7.6462483406 8.0032837671 77.7847720968 76.0105371475 4.6400432289 0 -31531 405 0.0705854057 S20041222004152.MON.chlor_a.csv 18587.0222895 17.0836601926 13.9986298084 8.5418122577 72.9625566457 89.2646102905 10.003695488 985680 392314 1088 0.1833606914 S20041222004152.MON.chlor_a.csv 6347.42247883 15.9482976855 16.2417368094 5.1794355285 26.8265523936 34.4619560242 10.1611919403 985680 412267 398 0.06940896 12239.59981067 1.1353625071 -2.243107001 3.3623767292 46.1360042521 54.8026542663 -0.1574964523 0 -19953 690 0.1139517314 S20051212005151.MON.chlor_a.csv 9704.71281201 16.5892526701 14.6408107281 8.1965914294 67.184111061 80.4225082397 10.007799983 985680 398970 585 0.0997085443 S20051212005151.MON.chlor_a.csv 0 0 0 0 0 9.6910648644 5.0014947295 985680 412361 0 0 -1055.39183579 10.293111858 8.6611735225 7.042132462 65.8513355536 70.7314433753 5.0063052535 0 -13391 585 0.0997085443 S20061212006151.MON.chlor_a.csv 11702.3014795 17.5974458338 14.3341029286 9.51235221 90.484844567 90.3890762329 10.0025033951 985680 403933 665 0.1143108602 S20061212006151.MON.chlor_a.csv 2198.27319369 27.1391752307 28.553352356 12.1977238105 148.784466156 41.2139659226 11.0872116089 985680 459694 81 0.0153996494 9504.02828581 -9.5417293969 -14.2192494274 -2.6853716005 -58.299621589 49.1751103103 -1.0847082138 0 -55761 584 0.0989112108
Jun 03Jun S20031522003181.MON.chlor_a.csv 4451.61986837 16.4266415807 13.7084026337 8.9534978649 80.1651240169 93.276725769 10.0051727295 985680 414952 271 0.0474832144 S20031522003181.MON.chlor_a.csv 0 0 0 0 0 3.7744164467 3.7744164467 985680 557608 0 0 4247.801380249 12.652225134 9.933986187 8.9534978649 80.1651240169 89.5023093223 6.2307562828 0 -142656 271 0.0474832144 S20041532004182.MON.chlor_a.csv 25865.1929268 21.2183699153 18.1460490227 11.4757921527 131.693805532 92.8808670044 10.0041570663 985680 392459 1219 0.2054883425 S20041532004182.MON.chlor_a.csv 560.513544083 11.2102708817 11.2102708817 0 0 11.2102708817 11.2102708817 985680 408343 50 0.0086604531 25304.679382717 10.0080990336 6.935778141 11.4757921527 131.693805532 81.6705961227 -1.2061138154 0 -15884 1169 0.1968278894 S20051522005181.MON.chlor_a.csv 2024.84385041 17.0154945413 13.5408990383 9.1683605288 84.0588347865 64.078086853 10.0362596512 985680 672690 119 0.038020384 S20051522005181.MON.chlor_a.csv 0 0 0 0 0 8.0491952896 5.1213667393 985680 567869 0 0 1530.679292715 10.426633772 7.5335128307 8.0287142481 82.7600411415 56.0288915634 4.9148929119 0 104821 119 0.038020384 S20061522006181.MON.chlor_a.csv 4329.78313393 18.5827602315 14.2678766251 13.2338852032 175.135717571 99.7268753052 10.0040903091 985680 418525 233 0.0410822438 S20061522006181.MON.chlor_a.csv 0 0 0 0 0 6.5411877632 5.2477884293 985680 562217 0 0 3763.079025692 12.8000652495 8.4827861786 12.7287366901 174.8805425507 93.185687542 4.7563018798 0 -143692 233 0.0410822438
Jul 03Jul S20031822003212.MON.chlor_a.csv 10271.6172218 19.417045788 14.7200775146 13.3454862402 178.102002986 99.5339050293 10.0075766742 985680 463362 529 0.1012792973 S20031822003212.MON.chlor_a.csv 146.723321915 11.2864093781 11.2864093781 0 0 11.2864093781 11.2864093781 985680 674019 13 0.0041711988 10124.893899885 8.1306364099 3.4336681365 13.3454862402 178.102002986 88.2474956512 -1.2788327039 0 -210657 516 0.0971080985 S20041832004213.MON.chlor_a.csv 30237.3293647 23.1881360158 16.6941779455 16.9442972012 287.109207643 98.2258682251 10.00923268 985680 393103 1304 0.2200557902 S20041832004213.MON.chlor_a.csv 2422.9523344 16.2614250631 14.9406032562 5.4457374553 29.6560564315 26.0702152252 10.0729799271 985680 422165 149 0.0264411773 27814.3770303 6.9267109527 1.7535746893 11.498559746 257.4531512115 72.1556529999 -0.0637472471 0 -29062 1155 0.1936146129 S20051822005212.MON.chlor_a.csv 7607.33779333 19.4561068883 15.5399084091 13.695330386 187.562074383 97.2804718018 10.0290336609 985680 469933 391 0.0758123654 S20051822005212.MON.chlor_a.csv 357.181035042 10.8236677285 10.9049196243 0.1922770792 0.0369704752 10.9049196243 10.3686571121 985680 570298 33 0.0079444945 7250.156758288 8.6324391598 4.6349887848 13.5030533068 187.5251039078 86.3755521775 -0.3396234512 0 -100365 358 0.0678678709 S20061822006212.MON.chlor_a.csv 4797.67923204 22.9554030241 15.1699662209 17.9891785477 323.61054482 92.4248657227 10.0287259817 985680 681800 209 0.0687771489 S20061822006212.MON.chlor_a.csv 3765.96966298 12.2271742305 11.3294962247 2.3017623432 5.2981098844 18.6749229431 10.0146045685 985680 546090 308 0.0700652881 1031.70956906 10.7282287936 3.8404699962 15.6874162045 318.3124349356 73.7499427796 0.0141214132 0 135710 -99 -0.0012881392
Aug 03Aug S20032132003243.MON.chlor_a.csv 17526.3479649 19.5388494592 14.8904144764 12.8969082693 166.330242908 96.9158096313 10.0005709648 985680 393955 897 0.1515906882 S20032132003243.MON.chlor_a.csv 1205.49761344 12.5572668067 10.9815583229 3.1195814598 9.7317884842 21.8649059385 10.0712373257 985680 470446 96 0.0186323108 16320.85035146 6.9815826525 3.9088561535 9.7773268095 156.5984544238 75.0509036928 -0.0706663609 0 -76491 801 0.1329583774 S20042142004244.MON.chlor_a.csv 16165.0975001 18.4112727791 15.1613388658 9.6801201997 93.7047270811 88.6967926025 10.0012735546 985680 390646 878 0.1475545935 S20042142004244.MON.chlor_a.csv 4508.45127412 32.4349012526 19.733225584 21.0709411204 443.984559699 73.3439102173 10.9395481745 985680 407963 139 0.0240602233 11656.64622598 -14.0236284735 -4.5718867182 -11.3908209207 -350.2798326179 15.3528823852 -0.9382746199 0 -17317 739 0.1234943702 S20052132005243.MON.chlor_a.csv 14620.5963362 18.8652855951 15.6154336929 9.408289965 88.515920065 69.9899673462 10.0030860901 985680 394813 775 0.131163189 S20052132005243.MON.chlor_a.csv 561.478344758 15.1750903989 16.5680599213 2.3245463123 5.4035155582 16.5680599213 10.6781535943 985680 414279 37 0.0064753124 14059.117991442 3.6901951962 -0.9526262284 7.0837436527 83.1124045068 53.4219074249 -0.6750675042 0 -19466 738 0.1246878766 S20062132006243.MON.chlor_a.csv 17233.1745597 19.9227451558 15.8504915237 11.7252831826 137.482265712 88.5700912476 10.0063907504 985680 392068 865 0.1457180785 S20062132006243.MON.chlor_a.csv 3842.50323501 16.0104301459 15.2966995239 5.4195299853 29.3713052616 39.4133946896 10.0475511253 985680 407407 240 0.0415028888 13390.67132469 3.9123150099 0.5537919998 6.3057531973 108.1109604504 49.156696558 -0.0411603749 0 -15339 625 0.1042151897
Sep 03Sep S20032442003273.MON.chlor_a.csv 18318.7160546 16.4440898157 13.9605242411 8.5148741883 72.5030824418 79.9346313477 10.0009863973 985680 389614 1114 0.1868920556 S20032442003273.MON.chlor_a.csv 4979.20837311 21.3699930176 20.3345100939 8.1730596494 66.798904032 40.6952590942 10.319188118 985680 412224 233 0.0406308418 13339.50768149 -4.9259032019 -6.3739858528 0.3418145389 5.7041784098 39.2393722535 -0.3182017207 0 -22610 881 0.1462612138 S20042452004274.MON.chlor_a.csv 13199.1941556 18.0316860049 14.476053079 10.910690467 119.043166466 96.1776580811 10.0055986245 985680 394864 732 0.1238964415 S20042452004274.MON.chlor_a.csv 8073.66945004 30.8155322521 15.7618961334 24.3819545741 594.479708852 85.6347579956 10.0281748772 985680 429361 262 0.0470952817 5125.52470556 -12.7838462472 -1.2858430544 -13.4712641071 -475.436542386 10.5429000855 -0.0225762527 0 -34497 470 0.0768011598 S20052442005273.MON.chlor_a.csv 17574.9274141 20.0856313304 16.209236145 12.6143235201 159.121157869 99.7157058716 10.0183392366 985680 397279 875 0.1487081089 S20052442005273.MON.chlor_a.csv 4870.87929959 23.4176889403 13.4551744461 19.9457175456 397.831648409 65.1255187988 10.57188797 985680 422359 208 0.0369238853 12704.04811451 -3.3320576099 2.7540616989 -7.3313940255 -238.71049054 34.5901870728 -0.5535487334 0 -25080 667 0.1117842236 S20062442006273.MON.chlor_a.csv 15141.433622 16.4939364074 14.0453364849 7.0551693887 49.775415103 65.9273452759 10.0032192866 985680 388379 918 0.1536913549 S20062442006273.MON.chlor_a.csv 4171.43467889 21.0678519136 15.6362571716 9.8925167176 97.8618870075 45.4261702299 10.0425762335 985680 406551 198 0.0341892739 10969.99894311 -4.5739155062 -1.5909206867 -2.8373473289 -48.0864719045 20.501175046 -0.0393569469 0 -18172 720 0.119502081
Oct 03Oct S20032742003304.MON.chlor_a.csv 9427.36015527 16.3385791252 13.3710227013 9.674418917 93.5943813812 90.6375274658 10.001598835 985680 387742 577 0.0964982992 S20032742003304.MON.chlor_a.csv 4944.76907926 29.0868769368 22.5388843218 18.248975425 333.025104063 62.1961708069 10.6342348201 985680 403519 170 0.0292015439 4482.59107601 -12.7482978116 -9.1678616205 -8.574556508 -239.4307226818 28.4413566589 -0.6326359851 0 -15777 407 0.0672967553 S20042752004305.MON.chlor_a.csv 11432.7233423 16.262764356 13.4766509192 10.4652130781 109.52068477 93.7814483643 10.0144839287 985680 387722 703 0.1175667856 S20042752004305.MON.chlor_a.csv 1848.31767245 14.6691878766 14.7352918386 3.8277795145 14.6518960117 19.1995410919 10.1233363152 985680 444337 126 0.0232754464 9584.40566985 1.5935764794 -1.2586409194 6.6374335636 94.8687887583 74.5819072724 -0.1088523865 0 -56615 577 0.0942913392 S20052742005304.MON.chlor_a.csv 11987.7438131 15.7113287196 13.7048730671 6.6711106829 44.5037177434 73.3038635254 10.0107165972 985680 389116 763 0.1278991022 S20052742005304.MON.chlor_a.csv 3730.34398286 34.2233392923 25.4640207291 25.0537523 627.690504308 78.8391342163 10.3012273908 985680 404006 109 0.0187390188 8257.39983024 -18.5120105727 -11.759147662 -18.3826416171 -583.1867865646 -5.5352706909 -0.2905107936 0 -14890 654 0.1091600834 S20062742006304.MON.chlor_a.csv 7449.74882782 15.716769679 12.9605360031 8.0658183791 65.0574261246 85.0446472168 10.0092333555 985680 389034 474 0.0794440925 S20062742006304.MON.chlor_a.csv 567.171903431 11.1210177143 10.916680932 0.7314230524 0.5349796817 12.121761322 10.4533424377 985680 407503 51 0.0088208282 6882.576924389 4.5957519647 2.0438550711 7.3343953267 64.5224464429 72.9228858948 -0.4441090822 0 -18469 423 0.0706232643
