Month,YMonth,FileLAC_2003,sumLAC_2003,meanLAC_2003,medianLAC_2003,stdLAC_2003,varLAC_2003,maxLAC_2003,minLAC_2003,totalpixLAC_2003,nanpixLAC_2003,statipixLAC_2003,percentLAC_2003,fileGAC_2003,sumGAC_2003,meanGAC_2003,medianGAC_2003,stdGAC_2003,varGAC_2003,maxGAC_2003,minGAC_2003,totalpixGAC_2003,nanpixGAC_2003,statipixGAC_2003,percentGAC_2003,sumDIFF_2003,meanDIFF_2003,medianDIFF_2003,stdDIFF_2003,varDIFF_2003,maxDIFF_2003,minDIFF_2003,totalpixDIFF_2003,nanpixDIFF_2003,statipixDIFF_2003,percentDIFF_2003,FileLAC_2004,sumLAC_2004,meanLAC_2004,medianLAC_2004,stdLAC_2004,varLAC_2004,maxLAC_2004,minLAC_2004,totalpixLAC_2004,nanpixLAC_2004,statipixLAC_2004,percentLAC_2004,fileGAC_2004,sumGAC_2004,meanGAC_2004,medianGAC_2004,stdGAC_2004,varGAC_2004,maxGAC_2004,minGAC_2004,totalpixGAC_2004,nanpixGAC_2004,statipixGAC_2004,percentGAC_2004,sumDIFF_2004,meanDIFF_2004,medianDIFF_2004,stdDIFF_2004,varDIFF_2004,maxDIFF_2004,minDIFF_2004,totalpixDIFF_2004,nanpixDIFF_2004,statipixDIFF_2004,percentDIFF_2004,FileLAC_2005,sumLAC_2005,meanLAC_2005,medianLAC_2005,stdLAC_2005,varLAC_2005,maxLAC_2005,minLAC_2005,totalpixLAC_2005,nanpixLAC_2005,statipixLAC_2005,percentLAC_2005,fileGAC_2005,sumGAC_2005,meanGAC_2005,medianGAC_2005,stdGAC_2005,varGAC_2005,maxGAC_2005,minGAC_2005,totalpixGAC_2005,nanpixGAC_2005,statipixGAC_2005,percentGAC_2005,sumDIFF_2005,meanDIFF_2005,medianDIFF_2005,stdDIFF_2005,varDIFF_2005,maxDIFF_2005,minDIFF_2005,totalpixDIFF_2005,nanpixDIFF_2005,statipixDIFF_2005,percentDIFF_2005,FileLAC_2006,sumLAC_2006,meanLAC_2006,medianLAC_2006,stdLAC_2006,varLAC_2006,maxLAC_2006,minLAC_2006,totalpixLAC_2006,nanpixLAC_2006,statipixLAC_2006,percentLAC_2006,fileGAC_2006,sumGAC_2006,meanGAC_2006,medianGAC_2006,stdGAC_2006,varGAC_2006,maxGAC_2006,minGAC_2006,totalpixGAC_2006,nanpixGAC_2006,statipixGAC_2006,percentGAC_2006,sumDIFF_2006,meanDIFF_2006,medianDIFF_2006,stdDIFF_2006,varDIFF_2006,maxDIFF_2006,minDIFF_2006,totalpixDIFF_2006,nanpixDIFF_2006,statipixDIFF_2006,percentDIFF_2006,,,,,,,,,,,,
Jan,03Jan,S20030012003031.MON.chlor_a.csv,1825.09382422,24.3345843229,21.2100028992,9.5266527912,90.7571134032,60.3289375305,15.342405508,985680,510686,75,0.0376846865,S20030012003031.MON.chlor_a.csv,658.42468071,8.2303085089,8.9655885696,1.7223238322,2.9663993829,9.8450613022,5.4199848175,985680,606196,,0,1166.66914351,16.104275814,12.2444143296,7.804328959,87.7907140203,50.4838762283,9.9224206905,0,-95510,75,0.0376846865,S20040012004031.MON.chlor_a.csv,2692.43309451,27.4738070868,21.0354988426,15.0640672947,226.926123458,76.4833831787,15.1795684844,985680,429515,98,0.0359605513,S20040012004031.MON.chlor_a.csv,299.161915779,17.5977597517,17.9478569031,0.7562962857,0.5719840718,17.9478569031,15.9639730453,985680,532977,17,0.0037552214,2393.271178731,9.8760473351,3.0876419395,14.307771009,226.3541393862,58.5355262756,-0.7844045609,0,-103462,81,0.0322053299,S20050012005031.MON.chlor_a.csv,3032.72342265,30.0269645807,22.9872112751,17.5180792949,306.883102184,87.6893157959,15.1546001434,985680,617035,101,0.0580504279,S20050012005031.MON.chlor_a.csv,99.5304908752,11.0589434306,10.959813118,0.1401914325,0.0196536378,11.2572040558,10.959813118,985680,619145,0,0,2933.1929317748,18.9680211501,12.0273981571,17.3778878624,306.8634485462,76.4321117401,4.1947870254,0,-2110,101,0.0580504279,S20060012006031.MON.chlor_a.csv,3832.48346403,26.4309204416,22.0750102997,13.0002852818,169.007417407,92.6855316162,15.0388660431,985680,475538,145,0.0648838951,S20060012006031.MON.chlor_a.csv,702.335634232,20.0667324066,20.0667324066,0,0,20.0667324066,20.0667324066,985680,542624,35,0.0078996786,3130.147829798,6.364188035,2.0082778931,13.0002852818,169.007417407,72.6187992096,-5.0278663635,0,-67086,110,0.0569842165,3.929525839,44326.4426,0.362483636,0.125935793,0.972030419,3.517952637,72.61879921,-0.000032036,0,-67086,17593,2.931897059
Feb,03Feb,S20030322003059.MON.chlor_a.csv,2487.92556651,22.0170404116,19.8963054915,6.2119671803,38.5885362487,42.3421418667,15.0003015921,985680,393647,113,0.052024127,S20030322003059.MON.chlor_a.csv,1089.81715584,18.7899509627,18.947561264,1.3102401962,1.7167293717,20.0573596954,16.822052002,985680,427584,58,0.0103924773,1398.10841067,3.2270894489,0.9487442275,4.9017269841,36.871806877,22.2847821713,-1.8217504099,0,-33937,55,0.0416316497,S20040322004060.MON.chlor_a.csv,2578.50134154,21.1352568979,20.3061991533,5.3425041845,28.5423509612,43.1564064026,15.0958833694,985680,394201,122,0.0635694589,S20040322004060.MON.chlor_a.csv,677.573426008,23.3646008968,27.9360866547,5.4521372896,29.7258010248,27.9360866547,16.2147817612,985680,429488,29,0.0052140268,1900.927915532,-2.2293439989,-7.6298875014,-0.1096331051,-1.1834500636,15.2203197479,-1.1188983918,0,-35287,93,0.0583554321,S20050322005059.MON.chlor_a.csv,3765.47885475,22.2809399689,19.5044106722,9.8709478827,97.4356121027,68.9825744629,15.0037486553,985680,660656,169,0.1095303731,S20050322005059.MON.chlor_a.csv,447.785654068,16.5846538544,16.5846538544,0,0,16.5846538544,16.5846538544,985680,637942,27,0.0077644664,3317.693200682,5.6962861145,2.9197568178,9.8709478827,97.4356121027,52.3979206085,-1.5809051991,0,22714,142,0.1017659067,S20060322006059.MON.chlor_a.csv,2185.72845928,24.5587467335,21.1816997528,11.8328364506,140.016018466,97.4656982422,15.0655300617,985680,422794,89,0.0367747643,S20060322006059.MON.chlor_a.csv,1217.50589135,39.274383592,30.5085631311,13.701520832,187.731673109,60.6963195801,30.4926993996,985680,498190,31,0.0063591048,968.22256793,-14.7156368585,-9.3268633783,-1.8686843814,-47.715654643,36.7693786621,-15.4271693379,0,-75396,58,0.0304156595,3.352479025,28954.24202,0.253489829,0.165421128,-0.071258126,-0.274379698,36.76937866,-0.000261795,0,-75396,12002,1.683176507
Mar,03Mar,S20030602003090.MON.chlor_a.csv,2168.03158547,20.4531281648,18.7987922549,7.2162372651,52.0740802659,64.4377593994,15.0884923935,985680,392534,106,0.0554669508,S20030602003090.MON.chlor_a.csv,517.859329333,17.8572182529,17.7895252506,0.210396944,0.0442668741,18.2446516355,17.5992054542,985680,416537,29,0.0050953802,1650.172256137,2.5959099119,1.0092670043,7.0058403211,52.0298133918,46.1931077639,-2.5107130607,0,-24003,77,0.0503715706,S20040612004091.MON.chlor_a.csv,1201.81081959,22.6756758413,18.9728393555,9.2504821814,85.5714205877,59.1282501221,15.0278940201,985680,390783,53,0.0260549305,S20040612004091.MON.chlor_a.csv,219.571139336,14.6380759557,14.678809166,0.2756796337,0.0759992604,14.9378728867,13.9847145081,985680,419360,0,0,982.239680254,8.0375998856,4.2940301895,8.9748025477,85.4954213273,44.1903772354,1.043179512,0,-28577,53,0.0260549305,S20050602005090.MON.chlor_a.csv,10983.1461921,27.7352176568,23.5746221542,13.7614172473,189.376604655,85.4209365845,15.0910162926,985680,633610,396,0.1968358565,S20050602005090.MON.chlor_a.csv,1729.20679445,27.8904321685,28.6556358337,10.1256564171,102.528917877,55.9794654846,15.3853571713,985680,412808,62,0.010822662,9253.93939765,-0.1552145117,-5.0810136795,3.6357608302,86.847686778,29.4414710999,-0.2943408787,0,220802,334,0.1860131945,S20060602006090.MON.chlor_a.csv,7954.13227653,24.1766938496,20.6374721527,12.7628582407,162.890550472,97.7441101074,15.008751591,985680,426096,329,0.1456439069,S20060602006090.MON.chlor_a.csv,734.228112411,15.9614807046,16.3673019409,0.991782003,0.9836315415,18.1905860901,15.0345573425,985680,423010,46,0.008175307,7219.904164119,8.215213145,4.2701702118,11.7710762377,161.9069189305,79.5535240173,-0.0258057515,0,3086,283,0.1374685999,9.98293849,106855.4797,-0.170695859,-0.106814921,0.236542525,0.896508184,79.55352402,-0.000000202,0,3086,55268,9.93167665
Apr,03Apr,S20030912003120.MON.chlor_a.csv,3153.77755068,20.4790750044,17.412789464,9.7681151235,95.4160730663,79.2592163086,15.0327585538,985680,392653,154,0.2149986426,S20030912003120.MON.chlor_a.csv,23183.2100146,18.5465680116,17.1743278503,4.7715579651,22.7677654143,46.1744291782,15.0014684439,985680,422627,1250,0.2220039677,-20029.43246392,1.9325069928,0.2384616137,4.9965571584,72.648307652,33.0847871304,0.0312901099,0,-29974,-1096,-0.0070053251,S20040922004121.MON.chlor_a.csv,3475.46837447,22.8649235163,19.6562601089,10.3657248594,107.44825186,97.4702987671,15.1175344467,985680,389122,152,0.0720801666,S20040922004121.MON.chlor_a.csv,444.338788986,21.1589899517,17.7359523773,4.3635338469,19.0404276332,26.7214260101,17.7359523773,985680,408132,21,0.0036360614,3031.129585484,1.7059335646,1.9203077316,6.0021910125,88.4078242268,70.748872757,-2.6184179306,0,-19010,131,0.0684441052,S20050912005120.MON.chlor_a.csv,7692.88307645,23.0325840612,19.2636381611,10.9320279176,119.509234391,84.7863845825,15.08603701,985680,392407,334,0.1267544621,S20050912005120.MON.chlor_a.csv,2165.13742406,19.1605081775,20.0018503269,1.9151211973,3.6676892005,21.4072942585,15.4438061714,985680,411813,113,0.0196909737,5527.74565239,3.8720758837,-0.7382121658,9.0169067203,115.8415451905,63.379090324,-0.3577691614,0,-19406,221,0.1070634884,S20060912006120.MON.chlor_a.csv,3065.84219181,28.387427702,21.7477701902,17.167220347,294.713454441,98.3231964111,15.0234680176,985680,419836,108,0.0445352429,S20060912006120.MON.chlor_a.csv,682.404518127,19.4972719465,19.5950317383,0.3971021514,0.1576901187,19.5950317383,17.8842353821,985680,502656,35,0.0072460168,2383.437673683,8.8901557555,2.1527384519,16.7701181956,294.5557643223,78.7281646728,-2.8607673645,0,-82820,73,0.0372892261,46.35069893,3639.709,-0.085702731,-0.05582121,0.161779279,0.288482566,78.72816467,-0.000023911,0,-82820,14284,-4.25976927
May,03May,S20031212003151.MON.chlor_a.csv,3648.22939222,23.6898012482,19.4271032065,10.9409226332,119.703788066,85.0576248169,15.0742721558,985680,411907,154,0.0705854057,S20031212003151.MON.chlor_a.csv,798.74257952,6.3392268216,5.9096627235,0.8579116672,0.7360124287,9.0470876694,5.3691468835,985680,443438,0,0,2849.4868127,17.3505744266,13.517440483,10.083010966,118.9677756373,76.0105371475,9.7051252723,0,-31531,154,0.0705854057,S20041222004152.MON.chlor_a.csv,11382.9767598,23.5672396684,20.9206066132,9.2879493587,86.2660032905,89.2646102905,15.0277157327,985680,392314,483,0.1833606914,S20041222004152.MON.chlor_a.csv,4212.7658624,19.7782434854,18.2458723783,4.1509627484,17.2304917386,34.4619560242,15.1634203941,985680,412267,213,0.0371460012,7170.2108974,3.788996183,2.6747342349,5.1369866103,69.0355115519,54.8026542663,-0.1357046614,0,-19953,270,0.1462146902,S20051212005151.MON.chlor_a.csv,5848.13829965,21.7402910768,19.8542633951,9.7210595616,94.4989989994,80.4225082397,15.0043134689,985680,398970,269,0.0997085443,S20051212005151.MON.chlor_a.csv,10760.1046478,6.2961408121,5.9796372056,1.1544589674,1.3327755074,9.6910648644,5.0014947295,985680,412361,0,0,-4911.96634815,15.4441502647,13.8746261895,8.5666005942,93.166223492,70.7314433753,10.0028187394,0,-13391,269,0.0997085443,S20061212006151.MON.chlor_a.csv,7293.25643489,23.91231618,20.1443978945,11.0163494945,121.359956184,90.3890762329,15.0142507553,985680,403933,305,0.1143108602,S20061212006151.MON.chlor_a.csv,1910.00569186,34.7273762156,28.5757318139,6.3033816889,39.7326207161,41.2139659226,28.4565291405,985680,459694,55,0.0104565521,5383.25074303,-10.8150600356,-8.4313339194,4.7129678056,81.6273354679,49.1751103103,-13.4422783852,0,-55761,250,0.1038543081,29.4869065,78531.105,0.129332773,0.002220541,0.514836089,1.082045913,49.17511031,-0.000000611,0,-55761,38405,3.77531918
Jun,03Jun,S20031522003181.MON.chlor_a.csv,2424.04045364,23.308081285,19.9099578857,11.3367984523,128.522999148,93.276725769,15.1044068336,985680,414952,104,0.0474832144,S20031522003181.MON.chlor_a.csv,203.818488121,3.7744164467,3.7744164467,0,0,3.7744164467,3.7744164467,985680,557608,0,0,2220.221965519,19.5336648383,16.135541439,11.3367984523,128.522999148,89.5023093223,11.3299903869,0,-142656,104,0.0474832144,S20041532004182.MON.chlor_a.csv,20520.7477425,26.5125939825,23.0456734896,11.3760008269,129.413394814,92.8808670044,15.0137182474,985680,392459,774,0.2054883425,S20041532004182.MON.chlor_a.csv,560.513544083,11.2102708817,11.2102708817,0,0,11.2102708817,11.2102708817,985680,408343,0,0,19960.234198417,15.3023231008,11.8354026079,11.3760008269,129.413394814,81.6705961227,3.8034473657,0,-15884,774,0.2054883425,S20051522005181.MON.chlor_a.csv,1232.90877926,23.7097842166,20.4312133789,10.5218665269,110.70967521,64.078086853,15.0479755402,985680,672690,52,0.038020384,S20051522005181.MON.chlor_a.csv,494.164557695,6.5888607693,6.0073862076,1.1396462807,1.298793645,8.0491952896,5.1213667393,985680,567869,0,0,738.744221565,17.1209234473,14.4238271713,9.3822202462,109.410881565,56.0288915634,9.9266088009,0,104821,52,0.038020384,S20061522006181.MON.chlor_a.csv,2864.19606735,25.8035681744,20.6228046417,16.304207953,265.827196976,99.7268753052,15.0727462769,985680,418525,111,0.0410822438,S20061522006181.MON.chlor_a.csv,566.704108238,5.782694982,5.7850904465,0.5051485131,0.2551750203,6.5411877632,5.2477884293,985680,562217,0,0,2297.491959112,20.0208731924,14.8377141952,15.7990594399,265.5720219557,93.185687542,9.8249578476,0,-143692,111,0.0410822438,2.943350423,26108.87523,0.378667605,0.115237259,1.650802355,5.161544864,93.185687547,-0.000062476,0,-143692,11053,1.203135106
Jul,03Jul,S20031822003212.MON.chlor_a.csv,6919.15165186,27.6766066074,22.3905403018,15.6502321446,244.929766181,99.5339050293,15.1178506613,985680,463362,250,0.1012792973,S20031822003212.MON.chlor_a.csv,146.723321915,11.2864093781,11.2864093781,0,0,11.2864093781,11.2864093781,985680,674019,0,0,6772.428329945,16.3901972293,11.1041309237,15.6502321446,244.929766181,88.2474956512,3.8314412832,0,-210657,250,0.1012792973,S20041832004213.MON.chlor_a.csv,23622.816433,31.2058341255,23.7470916907,18.4384738358,339.977317395,98.2258682251,15.0076939265,985680,393103,757,0.2200557902,S20041832004213.MON.chlor_a.csv,1164.0453701,21.9631201906,26.0702152252,5.2001675972,27.0417430389,26.0702152252,15.2938194275,985680,422165,53,0.009405251,22458.7710629,9.2427139349,-2.3231235345,13.2383062386,312.9355743561,72.1556529999,-0.286125501,0,-29062,704,0.2106505392,S20051822005212.MON.chlor_a.csv,5366.01142259,26.3039775617,21.2553100586,16.1076777688,259.457283104,97.2804718018,15.1580247879,985680,469933,204,0.0758123654,S20051822005212.MON.chlor_a.csv,357.181035042,10.8236677285,10.9049196243,0.1922770792,0.0369704752,10.9049196243,10.3686571121,985680,570298,0,0,5008.830387548,15.4803098332,10.3503904343,15.9154006896,259.4203126288,86.3755521775,4.7893676758,0,-100365,204,0.0758123654,S20061822006212.MON.chlor_a.csv,3517.29664302,33.4980632668,25.6911511421,20.4606835233,418.63957024,92.4248657227,15.1699662209,985680,681800,105,0.0687771489,S20061822006212.MON.chlor_a.csv,583.113905907,18.2223095596,18.6749229431,1.0021623229,1.0043293215,18.6749229431,15.1457209587,985680,546090,32,0.0072795105,2934.182737113,15.2757537072,7.016228199,19.4585212004,417.6352409185,73.7499427796,0.0242452622,0,135710,73,0.0614976384,7.298164199,-43958.45061,0.192571308,-0.161223292,2.391940248,13.444089968,73.74994278,-0.000015298,0,135710,-20999,-3.651000845
Aug,03Aug,S20032132003243.MON.chlor_a.csv,12101.9403763,27.2566224692,21.5930093924,14.7047787579,216.230518319,96.9158096313,15.0048226515,985680,393955,444,0.1515906882,S20032132003243.MON.chlor_a.csv,394.857553413,17.1677197136,16.8232250214,2.3052825995,5.3143278633,21.8649059385,15.0050630569,985680,470446,23,0.0044639911,11707.082822887,10.0889027556,4.769784371,12.3994961585,210.9161904557,75.0509036928,-0.0002404054,0,-76491,421,0.1471266971,S20042142004244.MON.chlor_a.csv,10878.6105903,24.3915035657,20.8706574043,10.4863528058,109.963595167,88.6967926025,15.0692790747,985680,390646,446,0.1475545935,S20042142004244.MON.chlor_a.csv,3896.43020809,40.1693835885,31.6726913452,20.9282643383,437.992248214,73.3439102173,18.577580452,985680,407963,97,0.0167902277,6982.18038221,-15.7778800228,-10.8020339409,-10.4419115325,-328.028653047,15.3528823852,-3.5083013773,0,-17317,349,0.1307643658,S20052132005243.MON.chlor_a.csv,10249.8954559,24.8181488036,22.2085824013,9.4105263171,88.5580055643,69.9899673462,15.0106882254,985680,394813,413,0.131163189,S20052132005243.MON.chlor_a.csv,447.337617874,16.5680599213,16.5680599213,0,0,16.5680599213,16.5680599213,985680,414279,27,0.004725228,9802.557838026,8.2500888823,5.64052248,9.4105263171,88.5580055643,53.4219074249,-1.5573716959,0,-19466,386,0.126437961,S20062132006243.MON.chlor_a.csv,12389.4296944,26.4166944443,23.2079184055,12.6365812236,159.683185019,88.5700912476,15.026368618,985680,392068,469,0.1457180785,S20062132006243.MON.chlor_a.csv,2442.17393508,20.1832556618,17.9148002863,4.5924834706,21.0909044278,39.4133946896,15.2966995239,985680,407407,121,0.0209243731,9947.25575932,6.2334387825,5.2931181192,8.044097753,138.5922805912,49.156696558,-0.2703309059,0,-15339,348,0.1247937054,4.565144836,33247.67528,0.699573846,0.216556246,1.991772407,10.865846319,49.15669656,-0.000019881,0,-15339,5691,0.840743185
Sep,03Sep,S20032442003273.MON.chlor_a.csv,10475.3995614,22.6740250247,19.4159168154,10.270205977,105.477130811,79.9346313477,15.0153986931,985680,389614,462,0.1868920556,S20032442003273.MON.chlor_a.csv,4482.64692693,23.3471194111,20.654145201,7.631123157,58.2340406374,40.6952590942,15.5280925632,985680,412224,192,0.0334812087,5992.75263447,-0.6730943864,-1.2382283856,2.63908282,47.2430901736,39.2393722535,-0.5126938701,0,-22610,270,0.1534108469,S20042452004274.MON.chlor_a.csv,8504.08527677,24.5782811467,20.1219170094,12.9746255052,168.340907,96.1776580811,15.0051242312,985680,394864,346,0.1238964415,S20042452004274.MON.chlor_a.csv,6664.76210964,46.9349444341,44.6470146179,22.9795008409,528.057458895,85.6347579956,15.7618961334,985680,429361,142,0.0255249236,1839.32316713,-22.3566632874,-24.5250976085,-10.0048753357,-359.716551895,10.5429000855,-0.7567719022,0,-34497,204,0.0983715179,S20052442005273.MON.chlor_a.csv,12926.4685046,26.1669402927,21.8840618134,13.9776657978,195.375141154,99.7157058716,15.0696497858,985680,397279,494,0.1487081089,S20052442005273.MON.chlor_a.csv,3476.5819397,37.7889341271,20.119934082,22.9673601057,527.499630225,65.1255187988,15.0688323975,985680,422359,92,0.0163317185,9449.8865649,-11.6219938344,1.7641277314,-8.9896943079,-332.124489071,34.5901870728,0.0008173883,0,-25080,402,0.1323763904,S20062442006273.MON.chlor_a.csv,8834.70814113,22.1977591486,20.2483592033,7.4138614425,54.9653414881,65.9273452759,15.0024724603,985680,388379,398,0.1536913549,S20062442006273.MON.chlor_a.csv,3149.518691,26.6908363644,22.6903114319,9.204875473,84.7297324734,45.4261702299,15.0814657211,985680,406551,118,0.0203754259,5685.18945013,-4.4930772158,-2.4419522286,-1.7910140305,-29.7643909853,20.501175046,-0.0789932608,0,-18172,280,0.133315929,15.548522,23444.722,0.219325633,-0.072338895,0.682858254,2.227449901,20.50117505,0.000000286,0,-18172,1861,-0.16147259
Oct,03Oct,S20032742003304.MON.chlor_a.csv,4915.51378376,24.2143536146,19.3214926124,12.9013218693,166.444105975,90.6375274658,15.0659918785,985680,387742,203,0.0964982992,S20032742003304.MON.chlor_a.csv,4219.69499978,37.3424336264,31.6973421574,17.2477738673,297.485703377,62.1961708069,16.7104769647,985680,403519,113,0.019410438,695.81878398,-13.1280800118,-12.375849545,-4.346451998,-131.041597402,28.4413566589,-1.6444850862,0,-15777,90,0.0770878612,S20042752004305.MON.chlor_a.csv,6130.49128766,23.3988217086,18.47829626,14.4681113056,209.326244751,93.7814483643,15.0241786412,985680,387722,262,0.1175667856,S20042752004305.MON.chlor_a.csv,1153.92118454,18.3162092784,17.7762928009,0.9590414822,0.9197605646,19.1995410919,15.3564720154,985680,444337,63,0.0116377232,4976.57010312,5.0826124302,0.7020034591,13.5090698234,208.4064841864,74.5819072724,-0.3322933742,0,-56615,199,0.1059290624,S20052742005304.MON.chlor_a.csv,6240.33456873,21.4444486898,19.2594270706,7.760658326,60.2278176526,73.3038635254,15.0035431609,985680,389116,291,0.1278991022,S20052742005304.MON.chlor_a.csv,3181.90156655,48.2106297961,40.4706965685,23.2240846561,539.358108112,78.8391342163,21.0260281563,985680,404006,66,0.0113465618,3058.43300218,-26.7661811063,-21.2112694979,-15.4634263301,-479.1302904594,-5.5352706909,-6.0224849954,0,-14890,225,0.1165525404,S20062742006304.MON.chlor_a.csv,3689.72777956,23.2058350915,19.710201025,10.2814064041,105.707317646,85.0446472168,15.0664536953,985680,389034,159,0.0794440925,S20062742006304.MON.chlor_a.csv,567.171903431,11.1210177143,10.916680932,0.7314230524,0.5349796817,12.121761322,10.4533424377,985680,407503,0,0,3122.555876129,12.0848173772,8.793520093,9.5499833517,105.1723379643,72.9228858948,4.6131112576,0,-18469,159,0.0794440925,5.817941565,47040.32662,0.311250372,0.068203708,0.972086336,2.769901928,72.9228859,-0.0000054,0,-18469,18355,2.896270883
