Month	file	sum	mean	median	std	var	max	min	totalpix	nanpix	statipix	percent
Jan	S20030012003031.MON.chlor_a.csv	186318.7097	0.490979092	0.428804881	0.332174249	0.110339732	9.845061302	0.137289628	985680	606196	379484	100
Feb	S20030322003059.MON.chlor_a.csv	285709.3137	0.511935785	0.43793944	0.446565283	0.199420552	20.0573597	0.112124309	985680	427584	558096	100
Mar	S20030602003090.MON.chlor_a.csv	470579.2244	0.826820719	0.723615217	0.550501	0.303051351	18.24465164	0.179079637	985680	416537	569143	100
Apr	S20030912003120.MON.chlor_a.csv	982099.8089	1.744240434	1.327869371	1.738466619	3.022266186	46.17442918	0.310583003	985680	422627	563053	100
May	S20031212003151.MON.chlor_a.csv	443009.4716	0.816995865	0.759394765	0.400582222	0.160466117	9.047087669	0.182216555	985680	443438	542242	100
Jun	S20031522003181.MON.chlor_a.csv	152936.4334	0.357268014	0.333365515	0.156452972	0.024477533	3.774416447	0.110452443	985680	557608	428072	100
Jul	S20031822003212.MON.chlor_a.csv	107515.9306	0.344977173	0.287366688	0.279665188	0.078212617	11.28640938	0.114869721	985680	674019	311661	100
Aug	S20032132003243.MON.chlor_a.csv	179303.3256	0.348003675	0.267105982	0.404241876	0.163411495	21.86490594	0.071765415	985680	470446	515234	100
Sep	S20032442003273.MON.chlor_a.csv	339032.2787	0.591208879	0.435584381	0.706085067	0.498556121	40.69525909	0.095680311	985680	412224	573456	100
Oct	S20032742003304.MON.chlor_a.csv	397119.4378	0.6821471	0.527064924	0.745360599	0.555562423	62.19617081	0.207579985	985680	403519	582161	100
Nov	S20033052003334.MON.chlor_a.csv	501863.0858	0.910326657	0.760059714	0.759401369	0.576690439	62.4197731	0.096322306	985680	434380	551300	100
Dec	S20033352003365.MON.chlor_a.csv	246600.6269	0.596817049	0.505860413	0.470325989	0.221206536	17.78706551	0.103960656	985680	572487	413193	100
Jan	S20040012004031.MON.chlor_a.csv	240090.2409	0.530348244	0.474291166	0.34105384	0.116317722	17.9478569	0.134443015	985680	532977	452703	100
Feb	S20040322004060.MON.chlor_a.csv	332731.6796	0.598231689	0.474758431	0.533227218	0.284331266	27.93608665	0.125192002	985680	429488	556192	100
Mar	S20040612004091.MON.chlor_a.csv	393407.7756	0.694673993	0.61818473	0.415000859	0.172225713	14.93787289	0.23388277	985680	419360	566320	100
Apr	S20040922004121.MON.chlor_a.csv	590954.8672	1.023213425	0.90027528	0.553624707	0.306500316	26.72142601	0.278717756	985680	408132	577548	100
May	S20041222004152.MON.chlor_a.csv	458613.9915	0.79979699	0.613328144	0.801236228	0.641979494	34.46195602	0.138613418	985680	412267	573413	100
