Mon	Month	file	sum	mean	median	std	var	max	min	totalpix	nanpix	statipix	percent
Jan	03Jan	S20030012003031.MON.chlor_a.csv	25118.2741	1.978907595	1.805933809	0.837244859	0.700978954	9.845061302	1.000274301	985680	606196	12693	3.344805051
Feb	03Feb	S20030322003059.MON.chlor_a.csv	41430.37856	1.937538164	1.439939559	1.623052429	2.634299188	20.0573597	1.000074625	985680	427584	21383	3.831419684
Mar	03Mar	S20030602003090.MON.chlor_a.csv	211075.6191	1.503012918	1.286316077	0.698692135	0.4881707	18.24465164	1.000013232	985680	416537	140435	24.6748181
Apr	03Apr	S20030912003120.MON.chlor_a.csv	862669.0765	2.092546601	1.508919636	1.915354245	3.668581883	46.17442918	1.000015602	985680	422627	412258	73.21832936
May	03May	S20031212003151.MON.chlor_a.csv	163883.9411	1.34636791	1.187942306	0.472462062	0.2232204	9.047087669	1.000005245	985680	443438	121723	22.44809513
Jun	03Jun	S20031522003181.MON.chlor_a.csv	5984.990279	1.552929496	1.411156058	0.530352644	0.281273927	3.774416447	1.000625968	985680	557608	3854	0.900315835
Jul	03Jul	S20031822003212.MON.chlor_a.csv	10728.85291	1.865563017	1.493807674	1.061158835	1.126058074	11.28640938	1.001132965	985680	674019	5751	1.845274192
Aug	03Aug	S20032132003243.MON.chlor_a.csv	29534.90431	2.145808218	1.716606855	1.512078642	2.28638182	21.86490594	1.0001252	985680	470446	13764	2.671407555
Sep	03Sep	S20032442003273.MON.chlor_a.csv	110255.4166	1.85147635	1.449726731	1.66415082	2.76939795	40.69525909	1.000110408	985680	412224	59550	10.38440613
Oct	03Oct	S20032742003304.MON.chlor_a.csv	129368.055	1.642581229	1.340972023	1.691182941	2.860099739	62.19617081	1.000002712	985680	403519	78759	13.52873174
Nov	03Nov	S20033052003334.MON.chlor_a.csv	237209.9118	1.586656534	1.230760992	1.18837418	1.412233191	62.4197731	1.000022849	985680	434380	149503	27.11826592
Dec	03Dec	S20033352003365.MON.chlor_a.csv	46307.63679	1.940968933	1.685456157	1.211796708	1.468451261	17.78706551	1.000101827	985680	572487	23858	5.77405716
Jan	04Jan	S20040012004031.MON.chlor_a.csv	25984.86574	2.060492089	1.900227189	1.077208662	1.1603785	17.9478569	1.00002922	985680	532977	12611	2.785711603
Feb	04Feb	S20040322004060.MON.chlor_a.csv	89338.67718	1.787631607	1.431409316	1.198988869	1.437574307	27.93608665	1.000029842	985680	429488	49976	8.985386341
Mar	04Mar	S20040612004091.MON.chlor_a.csv	78290.57814	1.616405041	1.283523599	0.894932602	0.800904362	14.93787289	1.00002866	985680	419360	48435	8.552585111
Apr	04Apr	S20040922004121.MON.chlor_a.csv	332560.2069	1.472900033	1.266390142	0.643006429	0.413457268	26.72142601	1.000012428	985680	408132	225786	39.09389349
May	04May	S20041222004152.MON.chlor_a.csv	179084.4017	2.007650158	1.550993443	1.490861183	2.222667068	34.46195602	1.000015342	985680	412267	89201	15.55615237
Jun	04Jun	S20041532004182.MON.chlor_a.csv	31989.92767	1.875802021	1.492609412	1.126050085	1.267988793	11.21027088	1.000058596	985680	408343	17054	2.953907337
Jul	04Jul	S20041832004213.MON.chlor_a.csv	36522.09792	1.883456135	1.460493207	1.667335798	2.780008665	26.07021523	1.000045121	985680	422165	19391	3.441079652
Aug	04Aug	S20042142004244.MON.chlor_a.csv	40337.20501	2.027708491	1.453195244	3.271585198	10.70326971	73.34391022	1.000006688	985680	407963	19893	3.443381448
Sep	04Sep	S20042452004274.MON.chlor_a.csv	39319.31845	2.541649544	1.431272507	5.074478755	25.75033464	85.634758	1.001130074	985680	429361	15470	2.780778654
Oct	04Oct	S20042752004305.MON.chlor_a.csv	72922.1071	1.660868836	1.274903715	1.184668024	1.403438327	19.19954109	1.00000006	985680	444337	43906	8.110569454
Nov	04Nov	S20043062004335.MON.chlor_a.csv	87006.24968	1.584178465	1.243297488	1.244009393	1.547559371	22.88425922	1.000009219	985680	423075	54922	9.762088855
Dec	04Dec	S20043362004366.MON.chlor_a.csv	103492.7618	1.621991064	1.257033378	1.199278638	1.438269252	29.38999367	1.000005841	985680	474126	63806	12.47297451
Jan	05Jan	S20050012005031.MON.chlor_a.csv	17378.06719	2.087455519	1.783111056	1.134901218	1.288000774	11.25720406	1.000750261	985680	619145	8325	2.271270138
Feb	05Feb	S20050322005059.MON.chlor_a.csv	22382.41591	2.379336229	2.159288168	1.356938492	1.84128207	16.58465385	1.000258781	985680	637942	9407	2.705197591
Mar	05Mar	S20050602005090.MON.chlor_a.csv	95781.07034	1.665844659	1.375668168	1.225281814	1.501315524	55.97946548	1.000009424	985680	412808	57497	10.03662249
Apr	05Apr	S20050912005120.MON.chlor_a.csv	337814.082	1.532113085	1.263760362	0.974750882	0.950139282	21.40729426	1.000001162	985680	411813	220489	38.42162034
May	05May	S20051212005151.MON.chlor_a.csv	211652.3309	1.835586756	1.4229334	0.996149945	0.992314712	9.691064864	1.000030257	985680	412361	115305	20.11184001
Jun	05Jun	S20051522005181.MON.chlor_a.csv	15358.67971	1.568652815	1.385452449	0.66482661	0.441994421	8.04919529	1.001332998	985680	567869	9791	2.343404075
Jul	05Jul	S20051822005212.MON.chlor_a.csv	11617.55922	1.71098074	1.311656773	1.299121262	1.687716053	10.90491962	1.000265211	985680	570298	6790	1.634639922
Aug	05Aug	S20052132005243.MON.chlor_a.csv	31941.89554	1.694260624	1.323947529	1.221731285	1.492627332	16.56805992	1.000018537	985680	414279	18853	3.299434198
Sep	05Sep	S20052442005273.MON.chlor_a.csv	39087.62942	2.167921765	1.504201293	3.34913925	11.21673372	65.1255188	1.000069082	985680	422359	18030	3.20066179
Oct	05Oct	S20052742005304.MON.chlor_a.csv	88904.99711	1.516192798	1.196644878	1.919416804	3.684160866	78.83913422	1.000036955	985680	404006	58637	10.08073251
Nov	05Nov	S20053052005334.MON.chlor_a.csv	264155.2457	1.781138083	1.269924283	1.853326092	3.434817602	78.45909882	1.00000157	985680	477776	148307	29.19980941
Dec	05Dec	S20053352005365.MON.chlor_a.csv	54516.63396	1.848836231	1.512190437	1.673390594	2.800236079	35.90987778	1.000034207	985680	693015	29487	10.07534211
Jan	06Jan	S20060012006031.MON.chlor_a.csv	31309.32926	1.798353203	1.452692747	1.323574576	1.751849657	20.06673241	1.00003218	985680	542624	17410	3.929525839
Feb	06Feb	S20060322006059.MON.chlor_a.csv	29642.72265	1.813787104	1.445219517	1.960881068	3.845054563	60.69631958	1.000287747	985680	498190	16343	3.352479025
Mar	06Mar	S20060602006090.MON.chlor_a.csv	127934.3162	2.277586588	1.588005811	1.776754127	3.156855226	18.19058609	1.000001037	985680	423010	56171	9.98293849
Apr	06Apr	S20060912006120.MON.chlor_a.csv	376978.2447	1.683803045	1.438053161	0.810703418	0.657240031	19.59503174	1.000024229	985680	502656	223885	46.35069893
May	06May	S20061212006151.MON.chlor_a.csv	216077.5412	1.393176794	1.243513835	0.793446431	0.629557239	41.21396592	1.000002325	985680	459694	155097	29.4869065
Jun	06Jun	S20061522006181.MON.chlor_a.csv	19399.93935	1.556477804	1.266731709	0.73794311	0.544560033	6.541187763	1.000106822	985680	562217	12464	2.943350423
Jul	06Jul	S20061822006212.MON.chlor_a.csv	70419.85774	2.194995878	1.678347826	1.614319551	2.606027612	18.67492294	1.000016371	985680	546090	32082	7.298164199
Aug	06Aug	S20062132006243.MON.chlor_a.csv	50090.60916	1.897443432	1.448571841	1.731796507	2.999119141	39.41339469	1.000028479	985680	407407	26399	4.565144836
Sep	06Sep	S20062442006273.MON.chlor_a.csv	159051.9644	1.766341252	1.524270848	1.28954618	1.662929349	45.42617023	1.00000823	985680	406551	90046	15.548522
Oct	06Oct	S20062742006304.MON.chlor_a.csv	56550.48308	1.681148792	1.342163781	0.938676956	0.881114428	12.12176132	1.000008583	985680	407503	33638	5.817941565
Nov	06Nov	S20063052006334.MON.chlor_a.csv	228559.5532	1.670439487	1.34883225	1.125621486	1.26702373	26.9998703	1.000003603	985680	463896	136826	26.22272818
Dec	06Dec	S20063352006365.MON.chlor_a.csv	102561.3561	1.501740334	1.208575527	0.962586646	0.926573051	18.64883041	1.000004189	985680	547580	68295	15.58890664
