Mon	Month	file	sum	mean	median	std	var	max	min	totalpix	nanpix	statipix	percent
Jan	03Jan	S20030012003031.MON.chlor_a.csv	61760.9135	2.224576361	1.908227432	1.769294503	3.13040304	60.32893753	1.000017842	985680	510686	27763	5.844915936
Feb	03Feb	S20030322003059.MON.chlor_a.csv	73198.5674	2.109408011	1.566565752	1.855800977	3.443997265	42.34214187	1.000029481	985680	393647	34701	5.861328676
Mar	03Mar	S20030602003090.MON.chlor_a.csv	278611.5571	1.607525846	1.314724591	1.009623853	1.019340324	64.4377594	1.000000387	985680	392534	173317	29.21995596
Apr	03Apr	S20030912003120.MON.chlor_a.csv	855867.5307	1.940826318	1.508689205	1.395406252	1.947158607	79.25921631	1.000001296	985680	392653	440981	74.36103247
May	03May	S20031212003151.MON.chlor_a.csv	189151.2246	1.560331818	1.200607263	1.347620956	1.816082242	85.05762482	1.000000119	985680	411907	121225	21.12769336
Jun	03Jun	S20031522003181.MON.chlor_a.csv	30423.13207	2.43970586	1.691397448	2.821636328	7.961631566	93.27672577	1.000083983	985680	414952	12470	2.184928723
Jul	03Jul	S20031822003212.MON.chlor_a.csv	52080.75924	2.989710634	2.058657378	4.038766107	16.31163167	99.53390503	1.00017786	985680	463362	17420	3.335133003
Aug	03Aug	S20032132003243.MON.chlor_a.csv	68105.69715	3.134034198	1.899533856	4.596836445	21.1309053	96.91580963	1.000000755	985680	393955	21731	3.672482995
Sep	03Sep	S20032442003273.MON.chlor_a.csv	151161.713	2.203716258	1.516094112	2.484024632	6.170378372	79.93463135	1.000011543	985680	389614	68594	11.50778605
Oct	03Oct	S20032742003304.MON.chlor_a.csv	186848.0968	1.885297825	1.410647614	1.709618327	2.922794822	90.63752747	1.000006214	985680	387742	99108	16.57496262
Nov	03Nov	S20033052003334.MON.chlor_a.csv	331514.9118	1.766741518	1.280312946	1.577784706	2.48940458	85.9570694	1.000002876	985680	387956	187642	31.39274983
Dec	03Dec	S20033352003365.MON.chlor_a.csv	107270.2476	1.965124437	1.545645674	1.759437516	3.095620372	95.77521515	1.000000775	985680	433198	54587	9.880321893
Jan	04Jan	S20040012004031.MON.chlor_a.csv	60060.11365	2.230479209	1.806337786	2.201269318	4.845586609	76.48338318	1.00000003	985680	429515	26927	4.841548821
Feb	04Feb	S20040322004060.MON.chlor_a.csv	131330.7735	1.99281924	1.498752669	1.593193824	2.538266559	43.1564064	1.000092432	985680	394201	65902	11.14190022
Mar	04Mar	S20040612004091.MON.chlor_a.csv	141081.2787	1.723677487	1.299730212	1.178448825	1.388741633	59.12825012	1.000002801	985680	390783	81849	13.75851618
Apr	04Apr	S20040922004121.MON.chlor_a.csv	504585.4483	1.599066545	1.354792087	0.938495493	0.88077379	97.47029877	1.000005916	985680	389122	315550	52.89510827
May	04May	S20041222004152.MON.chlor_a.csv	342967.9223	1.971771266	1.429888275	1.799728175	3.239021504	89.26461029	1.00000247	985680	392314	173939	29.31394788
