Month,file,sum,mean,median,std,var,max,min,totalpix,nanpix,statipix,percent
Jan,S20030012003031.MON.chlor_a.csv,7846.63919927,8.6512008812,6.6695373058,5.8520954272,34.2470208894,60.3289375305,5.0029687405,985680,510686,907,0.1909497804
Feb,S20030322003059.MON.chlor_a.csv,13250.8503974,8.255981556,6.6809348663,4.6067124676,21.2217997591,42.3421418667,5.0005569458,985680,393647,1605,0.2710997529
Mar,S20030602003090.MON.chlor_a.csv,15686.2936568,7.890489767,6.5293536969,4.0166321705,16.133333993,64.4377593994,5.0010162965,985680,392534,1988,0.3351620006
Apr,S20030912003120.MON.chlor_a.csv,146132.343011,6.7921144788,6.1813295682,2.1908687045,4.7999056801,79.2592163086,5.0001727343,985680,392653,21515,3.6279967017
May,S20031212003151.MON.chlor_a.csv,19037.6075506,8.2592657487,6.5441770256,5.4313766515,29.4998523306,85.0576248169,5.0000503779,985680,411907,2305,0.4017268153
Jun,S20031522003181.MON.chlor_a.csv,8739.09197254,9.6245506306,7.2921395302,6.6967678694,44.8466998969,93.276725769,5.0004014969,985680,414952,908,0.1590950505
Jul,S20031822003212.MON.chlor_a.csv,19237.0343442,10.2433622706,7.1719236871,9.1882901627,84.4246761136,99.5339050293,5.0037180185,985680,463362,1878,0.3595510781
Aug,S20032132003243.MON.chlor_a.csv,29849.2699392,11.047102124,7.7993030399,9.6064985426,92.2848142493,96.9158096313,5.0020586678,985680,393955,2702,0.4566310364
Sep,S20032442003273.MON.chlor_a.csv,36787.5160202,9.5428057121,7.3600209951,6.4503480395,41.6069898313,79.9346313477,5.0001560748,985680,389614,3855,0.6467404616
Oct,S20032742003304.MON.chlor_a.csv,24249.7368092,8.6730103037,6.8883373857,6.0063879136,36.0766957688,90.6375274658,5.0012913942,985680,387742,2796,0.4676070094
Nov,S20033052003334.MON.chlor_a.csv,47544.4774168,7.9188003692,6.7250810862,4.7176930668,22.2566278728,85.957069397,5.000273977,985680,387956,6004,1.0044769827
Dec,S20033352003365.MON.chlor_a.csv,13459.598106,8.7741839022,7.0481697433,6.4794961162,41.9838699201,95.7752151489,5.0017464161,985680,433198,1534,0.2776561046
Jan,S20040012004031.MON.chlor_a.csv,9124.07328276,9.0337359235,6.4451481104,7.923730154,62.7854995536,76.4833831787,5.0045671225,985680,429515,1010,0.1816007839
Feb,S20040322004060.MON.chlor_a.csv,21663.6438123,7.6821431958,6.5751359575,3.599025565,12.9529850174,43.1564064026,5.0016324861,985680,394201,2820,0.476770942
Mar,S20040612004091.MON.chlor_a.csv,9508.07856948,7.5401098886,6.2998549938,4.1538702244,17.2546378415,59.1282501221,5.0000138548,985680,390783,1261,0.211969467
Apr,S20040922004121.MON.chlor_a.csv,21251.3925267,7.9237108601,6.3900722464,4.8841639593,23.8550575817,97.4702987671,5.0000208219,985680,389122,2682,0.4495790854
May,S20041222004152.MON.chlor_a.csv,50248.8727213,8.3831953155,6.5224859357,5.5921644216,31.2723029184,89.2646102905,5.0000861287,985680,392314,5994,1.010169103
Jun,S20041532004182.MON.chlor_a.csv,38673.9638767,12.4153977132,8.159330368,10.120199421,102.418436321,92.8808670044,5.0027520458,985680,392459,3115,0.5250994149
Jul,S20041832004213.MON.chlor_a.csv,43721.8739856,13.3461153802,8.3422586521,13.3946698723,179.417180989,98.2258682251,5.0000756383,985680,393103,3276,0.5528395466
Aug,S20042142004244.MON.chlor_a.csv,27878.3451008,10.6527875815,7.6171719602,7.9413181311,63.0645336591,88.6967926025,5.0015888691,985680,390646,2617,0.439806801
Sep,S20042452004274.MON.chlor_a.csv,24875.1794872,10.0954462204,7.5178138415,7.9586806355,63.3405974572,96.1776580811,5.0002180338,985680,394864,2464,0.4170503168
Oct,S20042752004305.MON.chlor_a.csv,24107.8352982,9.3731863524,7.4489876702,7.0117873599,49.1651619807,93.7814483643,5.0015531778,985680,387722,2572,0.4301305443
Nov,S20043062004335.MON.chlor_a.csv,23493.4936189,8.2636277239,6.5474574907,5.0395649432,25.3972148167,67.2407302856,5.0001593317,985680,387973,2843,0.4756511133
Dec,S20043362004366.MON.chlor_a.csv,40874.5809191,9.0590826505,7.2073582411,5.8515678975,34.2408468592,96.3672332764,5.000014027,985680,425389,4512,0.8052958195
Jan,S20050012005031.MON.chlor_a.csv,10380.8193374,8.9412741924,6.3018888474,8.550484226,73.1107804995,87.6893157959,5.0003466606,985680,617035,1161,0.3149371346
Feb,S20050322005059.MON.chlor_a.csv,11296.7339827,10.0773719739,7.8722734451,6.8102902241,46.3800529365,68.9825744629,5.0049616098,985680,660656,1121,0.3448976076
Mar,S20050602005090.MON.chlor_a.csv,21275.5264663,12.7169913128,8.6806361675,10.9688240064,120.315100083,85.4209365845,5.0015025139,985680,633610,1673,0.475189593
Apr,S20050912005120.MON.chlor_a.csv,37349.7048578,8.119501056,6.412768205,5.476921512,29.996669248,84.7863845825,5.0002273619,985680,392407,4600,0.7753597416
May,S20051212005151.MON.chlor_a.csv,37877.6786963,7.2520924175,5.8957066536,4.4077062806,19.427874656,80.4225082397,5.0000080168,985680,398970,5223,0.8902183361
Jun,S20051522005181.MON.chlor_a.csv,4253.43200562,9.1866781979,6.7161616087,6.6338604617,44.0081046248,64.078086853,5.0021556616,985680,672690,463,0.1479280488
Jul,S20051822005212.MON.chlor_a.csv,14211.7782257,10.2760507778,7.1425919533,9.3593390952,87.5972282988,97.2804718018,5.0002932549,985680,469933,1383,0.2681547348
Aug,S20052132005243.MON.chlor_a.csv,24629.9838635,10.9320833837,7.9761400223,8.0440062285,64.7060362036,69.9899673462,5.0008244515,985680,394813,2253,0.3813040837
