%% LaTeX2e file `./data/wkyLAC.csv'
%% generated by the `filecontents' environment
%% from source `gshs_thesis_15021_main' on 2017/06/10.
%%
Week 2003 2004 2005 2006 Mean
1 0.476154006 0.59489337 0.632734707 0.606796972 0.577644764
2 0.563546414 0.582882649 0.542329339 0.625346919 0.57852633
3 0.660205062 0.582882649 0.467470252 0.450277811 0.540208944
4 0.437586174 0.474470013 0.767609301 0.587104565 0.566692513
5 0.489080797 0.544442446 1.183296338 0.618668652 0.708872058
6 0.527022285 0.53630037 0.507406579 0.504870782 0.518900004
7 0.618697961 0.690558704 0.443286179 0.514913749 0.566864148
8 0.557101641 0.6751504 0.516827547 0.485270173 0.55858744
9 0.700503578 0.624255427 0.806670293 0.805683319 0.734278154
10 0.772287504 0.674252423 0.803681175 0.573785733 0.706001709
11 1.06843519 0.82270648 0.834852904 0.916373066 0.91059191
12 1.616174734 1.152719455 0.866024633 0.81649573 1.112853638
13 1.924816086 1.156756981 1.24477047 0.76306845 1.272352997
14 1.851269377 1.151998495 1.527732257 0.775943703 1.326735958
15 1.118423087 0.922249787 0.932065326 1.037265435 1.002500909
16 1.035933892 1.368321816 1.069193556 1.206003887 1.169863288
17 0.632649153 0.799331617 0.875607865 0.769195426 0.769196015
18 0.39239249 0.61670341 0.766497538 0.948799812 0.681098312
19 0.381497241 0.637390223 0.374613865 0.504730803 0.474558033
20 0.352830677 0.503461111 0.275254486 0.407423366 0.38474241
21 0.417301562 0.375792083 0.305572786 0.412277508 0.377735985
22 0.282936665 0.35765064 0.297184854 0.406960007 0.336183041
23 0.34667041 0.332865961 0.266394188 0.346550187 0.323120186
24 0.289389147 0.488857154 0.292767773 0.361675081 0.358172289
25 0.364986881 0.409301432 0.32597366 0.321825399 0.355521843
26 0.419061904 0.376074166 0.337541017 0.670358101 0.450758797
27 0.41399557 0.382773443 0.257396633 0.362001616 0.354041815
28 0.361682214 0.365406173 0.38171113 0.388943709 0.374435807
29 0.329857118 0.303153625 0.40205292 0.492908359 0.381993005
30 0.324389001 0.40932225 0.362667345 0.341866591 0.359561297
31 0.36482374 0.401377505 0.405282518 0.307891299 0.369843766
32 0.402460329 0.426694791 0.447897691 0.309545701 0.396649628
33 0.64655663 0.43147877 0.404131914 0.661617364 0.535946169
34 0.605789979 0.362369907 0.413781429 0.785193055 0.541783593
35 0.623943923 0.486844854 0.410187802 0.419140549 0.485029282
36 0.543054111 0.588343918 0.40351142 0.568980873 0.525972581
37 0.802913205 0.685795298 0.586059294 0.534806074 0.652393468
38 0.832229772 0.8063617 0.770901782 0.7516393 0.790283139
39 1.177404235 0.77612172 1.14395351 0.661987747 0.939866803
40 0.959527977 0.944674296 0.979712771 1.398655398 1.07064261
41 0.882927175 0.823408176 1.091279769 1.047410927 0.961256512
42 1.08944277 0.885258755 1.216770834 0.78734363 0.994703997
43 0.638337908 0.841397948 0.877987403 0.980472207 0.834548867
44 0.547130295 0.883566148 0.775070312 1.081140374 0.821726782
45 0.591775321 0.734611638 0.687765781 0.805468916 0.704905414
46 0.516769851 0.683673172 0.900728247 0.628334978 0.682376562
