%% LaTeX2e file `monGAC.csv'
%% generated by the `filecontents' environment
%% from source `gshs_thesis_15021_main' on 2017/06/09.
%%
Month 2003 2004 2005 2006
Jan 0.486127569 0.521470609 0.474517821 0.516553654
Feb 0.501991019 0.584347476 0.455980858 0.495407725
Mar 0.817813907 0.687303278 0.646940185 0.717458898
Apr 1.721361812 1.010015946 1.004260446 1.073494304
May 0.812568086 0.782620971 0.800933279 0.85934371
Jun 0.355430076 0.393271012 0.391191881 0.413365723
Jul 0.339359596 0.35771393 0.316074802 0.514093179
Aug 0.337074274 0.339522758 0.366239461 0.373076041
Sep 0.570956118 0.411267277 0.414755409 0.609996728
Oct 0.651140195 0.657974145 0.54405169 0.571227463
Nov 0.87909309 0.733726058 1.015639601 0.913545033
Dec 0.587981455 0.687906399 0.623009795 0.748642857
