%% LaTeX2e file `wkyGAC.csv'
%% generated by the `filecontents' environment
%% from source `gshs_thesis_15021_main' on 2017/06/09.
%%
Week 2003 2004 2005 2006 Mean
1 0.457868004 0.569325035 0.500908957 0.546481834 0.518645957
2 0.508917672 0.542890718 0.504673876 0.578345823 0.533707022
3 0.466132217 0.486641405 0.451352602 0.452554816 0.46417026
4 0.439220134 0.479310486 0.480359002 0.502111628 0.475250313
5 0.479521356 0.536552836 0.572574678 0.563536813 0.538046421
6 0.511109056 0.51222153 0.431523135 0.496210212 0.487765983
7 0.689741854 0.661775753 0.459076789 0.519463508 0.582514476
8 0.54176993 0.618564376 0.423039702 0.450792641 0.508541662
9 0.912189723 0.575207431 0.734823545 0.527172206 0.687348226
10 0.728297474 0.646956586 0.494890555 0.646504699 0.629162329
11 0.969340843 0.793942653 0.755201856 0.795921146 0.828601624
12 1.552913328 0.91104277 0.844590625 0.757756824 1.016575887
13 2.681121122 1.09099751 0.983405972 0.712307542 1.366958036
14 1.978577338 1.110996092 1.265668014 0.662943961 1.254546351
15 1.220567325 0.858910591 0.954970636 1.293884149 1.082083175
16 1.043098286 1.116722602 1.259783494 1.069476675 1.122270264
17 0.611402898 0.702152443 0.797444473 0.926223359 0.759305793
18 0.374752214 0.520913149 0.696829493 0.925200158 0.629423754
19 0.376393447 0.587831817 0.45731157 0.697109735 0.529661642
20 0.367858044 0.452923895 0.400317671 0.508316192 0.432353951
21 0.417030495 0.327804601 0.318380928 0.438698404 0.375478607
22 0.280101907 0.351391521 0.313518451 0.397970813 0.335745673
23 0.355093253 0.295368589 0.454709022 0.371061358 0.369058055
24 0.318561174 0.426792181 0.241701415 0.357719339 0.336193527
25 0.342293182 0.391178555 0.321167144 0.44101238 0.373912815
26 0.367494424 0.335479248 0.351639002 0.39606029 0.362668241
27 0.40601449 0.337565634 0.355403231 0.46420907 0.390798106
28 0.386547997 0.322254945 0.353807662 0.365289498 0.356975026
29 0.303527253 0.290980021 0.390682309 0.435007126 0.355049177
30 0.31287155 0.361561853 0.407527142 0.335166926 0.354281868
31 0.34152255 0.386656749 0.296944438 0.295108433 0.330058043
32 0.400075796 0.390699967 0.458503564 0.312090502 0.390342457
33 0.611522022 0.379862067 0.37090729 0.682372492 0.511165967
34 0.559242138 0.336707725 0.343408454 0.68699468 0.481588249
35 0.568022202 0.434386006 0.3611996 0.404960748 0.442142139
36 0.558107102 0.515084085 0.340714573 0.51899379 0.483224887
37 0.666311209 0.66102099 0.57062426 0.484926206 0.595720666
38 0.788683821 0.779948243 0.731360304 0.695865022 0.748964348
39 1.154816916 0.704594445 1.057411632 0.768225593 0.921262146
40 1.077736571 0.807139982 0.896675045 1.397050155 1.044650438
41 0.78830264 0.73372633 0.964623248 0.942538913 0.857297783
42 1.076531217 0.721720983 1.245171329 0.675694912 0.92977961
43 0.577947167 0.718960894 0.714932614 0.95281415 0.741163706
44 0.484333538 0.765154547 0.731097656 0.70244252 0.670757065
45 0.684586585 0.632804061 0.594370848 0.790493513 0.675563752
46 0.496141991 0.603579311 0.504110643 0.653549869 0.564345453
